frame_no,translation
10,1.8687070034730663e-12
20,1.8491173649205463e-12
30,1.8076362641007383e-12
40,1.7817774728546169e-12
50,1.834878250216054e-12
60,2.1105783664956765e-12
70,1.86073661586818e-12
80,1.6035073116263369e-12
90,1.5241325227659275e-12
100,1.3753491528787272e-12
110,1.0726040016735645e-12
120,3.071419988822957e-13
130,-1.8594963498449875e-13
140,-7.363269525582253e-14
150,2.2519668299180194e-13
160,6.492586492478802e-13
170,1.4910203511904612e-12
180,1.2500513937949104e-12
190,1.7171868882928551e-12
200,1.623895304971528e-12
210,1.3853192899084922e-12
220,1.0973719439215413e-12
230,7.497294317556371e-13
240,8.075482568319552e-13
250,5.938665302041486e-13
260,4.5040193838324743e-13
270,1.7056483207894422e-13
280,-8.264054488276422e-14
290,-3.2111951794909295e-14
300,4.4034038648261565e-14
310,-2.598122062707335e-13
320,-2.8120791787424613e-13
330,-2.1440650661098527e-13
340,-8.157678633958243e-14
350,-2.397945076920219e-14
360,-9.357415108455005e-14
370,-8.946883798455331e-14
380,1.3308115387274707e-13
390,1.7243146939781817e-13
400,6.221358467317826e-13
410,1.0614790470318658e-12
420,1.4389490967328863e-12
430,1.5643808242374583e-12
440,1.963229337949164e-12
450,2.0522289820100203e-12
460,2.1682146445424307e-12
470,2.077983058550866e-12
480,1.4565458368717007e-12
490,1.0924013501270401e-12
500,1.2544668510877568e-12
510,1.5932171325201232e-12
520,1.8112144250866177e-12
530,1.799908771984662e-12
540,1.3066652984368167e-12
550,9.194940528730463e-13
560,1.420927788190277e-13
570,3.0281615399561296e-13
580,3.196333995207505e-15
590,-8.033629484445149e-13
600,-1.1900901926512062e-13
610,2.460559804174554e-14
620,3.94146816583413e-13
630,3.8489499124741014e-13
640,5.621016711639261e-13
650,7.60940179011636e-13
660,3.752604879255459e-13
670,3.3349138564423647e-13
680,3.1979924763719986e-13
690,1.1539362087778545e-13
700,-2.944008464747183e-13
710,-4.2985917378466365e-13
