frame_no,absolute_rotation,net_absolute_rotation
10,0.03512667972491958,0.03512667972491958
20,-0.02751780897980972,0.007608870745109856
30,0.00020953461800585492,0.007818405363115712
40,-0.020913690772756684,-0.013095285409640972
50,0.03536419131238656,0.022268905902745585
60,0.1161011888173067,0.1383700947200523
70,-0.35340146761793373,-0.21503137289788143
80,0.15924477149920943,-0.055786601398672
90,-0.17280305431266202,-0.22858965571133402
100,0.06968318124377793,-0.1589064744675561
110,-0.0038629943098989665,-0.16276946877745507
120,0.8945803729565791,0.7318109041791241
130,-0.015578052700190241,0.7162328514789339
140,0.17324660396606492,0.8894794554449988
150,0.062068825672417505,0.9515482811174163
160,0.12208830079267793,1.0736365819100941
170,-0.013651999332162863,1.0599845825779313
180,0.024577784997420717,1.084562367575352
190,0.44701786283940675,1.5315802304147588
200,0.01361182031240161,1.5451920507271604
