frame_no,com_x,com_y,com_z,dcom_x,dcom_y,dcom_z
10,22.661481015955943,1.8957430254265937,5.663567981221707,0.001114860007621843,-0.002234375542000455,-0.0005066029223375068
20,22.665819182983615,1.8933273405288313,5.66355839213784,0.005453027035294156,-0.004650060439762793,-0.0005161920062048964
30,22.67303399058116,1.8907878330433423,5.6634171168626235,0.012667834632839714,-0.007189567925251827,-0.0006574672814210203
40,22.679959673266,1.8881939933993293,5.662714805717616,0.019593517317680664,-0.00978340756926488,-0.0013597784264280932
50,22.684800581120104,1.8836772340638888,5.660286898615597,0.024434425171783403,-0.01430016690470537,-0.0037876855284473265
60,22.68998713208325,1.8779658851906917,5.657772802664196,0.029620976134928867,-0.02001151577790239,-0.006301781479848501
70,22.695008313749828,1.8722616687719642,5.655320871755885,0.03464215780150681,-0.025715732196629926,-0.008753712388159585
80,22.70074976588472,1.8641376406253911,5.652690521661518,0.04038360993639856,-0.03383976034320302,-0.011384062482526325
90,22.706446147191294,1.856855502316534,5.6495510431710905,0.046079991242972795,-0.04112189865206006,-0.014523540972954052
100,22.711401010835296,1.8508712029229113,5.645825489458498,0.05103485488697501,-0.047106198045682834,-0.018249094685546474
110,22.71532366245004,1.844929776462409,5.6407568653104585,0.05495750650171871,-0.053047624506185054,-0.02331771883358602
120,22.72227913481413,1.8398779777461032,5.636253155015103,0.061912978865809265,-0.058099423222490953,-0.027821429128941588
130,22.72987547369508,1.8367334620572209,5.633751804934936,0.0695093177467605,-0.06124393891137325,-0.030322779209108752
140,22.739880029257463,1.833417882022374,5.6323464202135005,0.07951387330914272,-0.06455951894622003,-0.03172816393054401
150,22.74892506045512,1.8290425535276151,5.6315302279282,0.08855890450680093,-0.068934847440979,-0.03254435621584495
160,22.75619942199956,1.8262218925392681,5.632242608211033,0.09583326605124043,-0.07175550842932599,-0.031831975933011236
170,22.763234108232183,1.8244768819555264,5.633295494652234,0.10286795228386225,-0.07350051901306776,-0.030779089491810296
180,22.77042216637901,1.822704295126664,5.633081460588717,0.11005601043068935,-0.07527310584193003,-0.03099312355532735
190,22.777062892286324,1.8219017612689712,5.630988785607662,0.11669673633800315,-0.07607563969962294,-0.033085798536382605
200,22.781654750407153,1.8197572885752116,5.62792700646958,0.12128859445883222,-0.07822011239338256,-0.036147577674464415
210,22.785077897867648,1.8166703594805864,5.625833752241942,0.12471174191932732,-0.08130704148800771,-0.03824083190210281
220,22.788676018370943,1.8144980611536112,5.622859487398928,0.128309862422622,-0.0834793398149829,-0.04121509674511614
230,22.79188648154532,1.8112043098220878,5.617922004656035,0.13152032559699833,-0.08677309114650633,-0.04615257948800977
240,22.794363148513675,1.8076367923234555,5.612889142027874,0.13399699256535413,-0.0903406086451386,-0.0511854421161706
250,22.79652301808855,1.806040157874023,5.608297734955001,0.13615686214022915,-0.09193724309457108,-0.055776849189043354
260,22.796831952155458,1.8040019452092013,5.601023527394676,0.13646579620713695,-0.09397545575939281,-0.0630510567493685
270,22.798848690989384,1.799873859560345,5.595995692462567,0.13848253504106367,-0.09810354140824917,-0.06807889168147785
280,22.80383433629045,1.793149106682713,5.593266163615936,0.14346818034212916,-0.10482829428588114,-0.07080842052810876
290,22.81105876110808,1.788203324208135,5.591262607176698,0.15069260515975813,-0.10977407676045914,-0.07281197696734676
300,22.818278819415735,1.7824976994370816,5.590065997998149,0.15791266346741395,-0.11547970153151255,-0.07400858614589545
310,22.82432359144499,1.7761344663302638,5.587029755360052,0.16395743549666975,-0.12184293463833029,-0.07704482878399244
320,22.829850927352272,1.7700281312709425,5.582933696029149,0.16948477140395113,-0.12794926969765164,-0.08114088811489584
330,22.836072606439796,1.7650867051658468,5.577125684776864,0.17570645049147515,-0.13289069580274737,-0.08694889936718031
340,22.84248738639291,1.7591883699598094,5.571470260979398,0.18212123044459005,-0.1387890310087847,-0.09260432316464673
350,22.849516255432068,1.753282115611975,5.566200598534306,0.18915009948374717,-0.14469528535661924,-0.09787398560973859
360,22.856799953667405,1.7481741081962192,5.560573503864802,0.19643379771908442,-0.14980329277237492,-0.10350108027924243
370,22.864112294237394,1.7443394269586028,5.553938531021775,0.2037461382890733,-0.15363797400999135,-0.11013605312226993
380,22.872747611619616,1.7426365239826405,5.546746736989179,0.21238145567129507,-0.15534087698595367,-0.11732784715486577
390,22.884274573925314,1.741309333958111,5.540042020057303,0.22390841797699323,-0.1566680670104832,-0.12403256408674146
400,22.89785575412404,1.7418810725093719,5.533870345431648,0.23748959817572057,-0.15609632845922228,-0.1302042387123965
410,22.91185548590471,1.7443645402772996,5.530008344493526,0.25148932995638873,-0.15361286069129454,-0.13406623965051878
420,22.92457453334359,1.7481606082831926,5.526185295094949,0.2642083773952706,-0.1498167926854015,-0.13788928904909525
430,22.935946521935705,1.7528177526187436,5.5228070309084005,0.2755803659873841,-0.1451596483498505,-0.141267553235644
440,22.94911970583179,1.7569843510162613,5.5196751287921595,0.28875354988347013,-0.14099304995233286,-0.14439945535188503
450,22.964474915517282,1.761410326658403,5.518553732284832,0.3041087595689618,-0.13656707431019122,-0.14552085185921282
460,22.979729411148973,1.7656667763702838,5.515903158006276,0.3193632552006527,-0.13231062459831033,-0.14817142613776824
470,22.99417358637979,1.7697315430126606,5.513648854537456,0.3338074304314702,-0.12824585795593357,-0.15042572960658873
480,23.006508761859294,1.7702674152780187,5.50962364530563,0.34614260591097334,-0.12770998569057546,-0.15445093883841476
490,23.019083072475908,1.7689278051283117,5.504012948928367,0.3587169165275874,-0.12904959584028242,-0.16006163521567718
