,frame_no,rotation,net_rotation
0,10,0.035126679724919584,0.035126679724919584
1,20,-0.027517808979809717,0.007608870745109866
2,30,0.0002095346180058549,0.007818405363115722
3,40,-0.020913690772756684,-0.013095285409640962
4,50,0.035364191312386564,0.022268905902745603
5,60,0.1161011888173067,0.1383700947200523
6,70,-0.3534014676179337,-0.21503137289788138
7,80,0.15924477149920946,-0.05578660139867192
8,90,-0.17280305431266202,-0.22858965571133394
9,100,0.06968318124377793,-0.158906474467556
10,110,-0.0038629943098989674,-0.162769468777455
11,120,0.8945803729565791,0.7318109041791241
12,130,-0.015578052700190241,0.7162328514789339
13,140,0.17324660396606492,0.8894794554449988
14,150,0.06206882567241751,0.9515482811174164
15,160,0.12208830079267792,1.0736365819100944
16,170,-0.013651999332162865,1.0599845825779315
17,180,0.024577784997420717,1.0845623675753522
18,190,0.4470178628394068,1.531580230414759
19,200,0.01361182031240161,1.5451920507271606
20,210,-0.20698443020029145,1.3382076205268691
21,220,-0.23547396691111314,1.102733653615756
22,230,0.20490712009025155,1.3076407737060074
23,240,0.6473953636995291,1.9550361374055365
24,250,0.09170993165459347,2.04674606906013
25,260,0.3375576793370621,2.384303748397192
26,270,-0.527075198500849,1.8572285498963428
27,280,0.0420659516720197,1.8992945015683624
28,290,-0.2016878830770119,1.6976066184913505
29,300,0.29591482970922844,1.993521448200579
30,310,-0.1975230737927814,1.7959983744077976
31,320,-0.18501009032234791,1.6109882840854497
32,330,-0.029612326043573226,1.5813759580418765
33,340,0.1905842858444814,1.7719602438863578
34,350,-0.06616365627026273,1.705796587616095
35,360,0.436363741512006,2.142160329128101
36,370,0.25079066082996565,2.3929509899580665
37,380,0.061716524333067485,2.454667514291134
38,390,0.18986079171472212,2.644528306005856
39,400,0.1909837312294606,2.8355120372353166
40,410,-0.15730688861665929,2.6782051486186575
41,420,0.13373389849059925,2.8119390471092567
42,430,-0.0556469604350763,2.7562920866741805
43,440,-0.3693836391949391,2.3869084474792412
44,450,-0.41050898006636605,1.9763994674128753
45,460,0.13578626375908565,2.112185731171961
46,470,-0.3110303881712064,1.8011553430007545
47,480,-0.24064960654222026,1.5605057364585342
48,490,0.1985320999329307,1.759037836391465
49,500,0.13429198355297536,1.8933298199444404
50,510,0.17920778347980673,2.072537603424247
51,520,0.03908208439919277,2.1116196878234397
52,530,-0.08302718105172961,2.02859250677171
53,540,0.20243819976768884,2.231030706539399
54,550,0.05329982157780793,2.284330528117207
55,560,0.7168608432270356,3.001191371344243
56,570,-0.047831098702720974,2.953360272641522
57,580,0.09589936839103992,3.049259641032562
58,590,0.14164316503822813,3.19090280607079
59,600,-0.2874457095037639,2.903457096567026
60,610,0.06855663107442603,2.972013727641452
61,620,0.35127675378015666,3.3232904814216084
62,630,0.1539174614212055,3.477207942842814
63,640,0.15144390223870413,3.628651845081518
64,650,0.16671658421024615,3.795368429291764
65,660,-0.35652562908133073,3.4388428002104336
66,670,0.27025132625790416,3.709094126468338
67,680,-0.03094438073416558,3.6781497457341725
68,690,0.2195496724598552,3.8976994181940277
69,700,0.4378796845914775,4.3355791027855055
70,710,0.041909647458729896,4.377488750244235
71,720,-0.3164537107487992,4.061035039495436
72,730,-0.2656969743867587,3.795338065108677
73,740,-0.003085079512415272,3.792252985596262
74,750,0.23673331068487224,4.0289862962811345
75,760,0.18834634270674533,4.21733263898788
76,770,-0.01938550470763603,4.197947134280244
77,780,0.2340803780955109,4.432027512375755
78,790,0.0659186605069756,4.49794617288273
79,800,-0.33682732377239005,4.16111884911034
80,810,-0.22115632019547435,3.939962528914866
81,820,-0.038827069020383714,3.9011354598944825
82,830,-0.27580258411236946,3.625332875782113
83,840,0.3484002738805529,3.9737331496626656
84,850,0.19236662384754014,4.166099773510206
85,860,-0.23163469836473696,3.9344650751454693
86,870,-0.277840958983714,3.656624116161755
87,880,0.25593989633050057,3.912564012492256
88,890,0.10647065339909252,4.019034665891349
89,900,-0.003235457273129362,4.015799208618219
90,910,-0.410433267211258,3.605365941406961
91,920,-0.32974369217351834,3.275622249233443
92,930,-0.25955394660233644,3.0160683026311066
93,940,0.2668536234102964,3.282921926041403
94,950,0.0005871216727137399,3.2835090477141167
95,960,-0.3636759476740212,2.9198331000400954
96,970,-0.8848348876948573,2.034998212345238
97,980,-0.16157514723091734,1.8734230651143209
98,990,0.11882000345697286,1.9922430685712937
99,1000,0.30440485540283874,2.2966479239741324
100,1010,-0.4408258663231686,1.8558220576509639
101,1020,0.1540898109719199,2.0099118686228836
102,1030,-0.1468006739595564,1.8631111946633272
103,1040,-0.19729411207466632,1.665817082588661
104,1050,0.3855930860506585,2.0514101686393196
105,1060,-0.02379955413780693,2.0276106145015125
106,1070,-0.12828522727828529,1.8993253872232272
107,1080,-0.08111692662900945,1.8182084605942177
108,1090,0.2514801893380856,2.0696886499323033
109,1100,-0.28478428350987256,1.7849043664224307
110,1110,-0.1549725737098339,1.6299317927125967
111,1120,-0.4254979835247408,1.204433809187856
112,1130,-0.09849668702495863,1.1059371221628973
113,1140,0.26538468277024424,1.3713218049331415
114,1150,-0.03697433656674988,1.3343474683663916
115,1160,0.2800934795050903,1.6144409478714818
116,1170,0.4416185447416027,2.0560594926130844
117,1180,0.4776167234649295,2.533676216078014
118,1190,-0.179410400477929,2.354265815600085
119,1200,0.38672190164947895,2.7409877172495642
120,1210,-0.20671472127845192,2.5342729959711123
121,1220,0.3818635907430396,2.9161365867141518
122,1230,-0.0795586672602379,2.836577919453914
123,1240,0.3313836044978272,3.167961523951741
124,1250,0.012435695995580405,3.1803972199473214
