frame_no,insta_relative_rotation,net_relative_rotation,insta_ring_absolute_rotation,insta_track_absolute_rotation
10,-0.17177884780012415,-0.17177884780012415,0.0756154349056559,0.24739428270578007
20,0.09984666062054101,-0.07193218717958313,0.011540086031433647,-0.08830657458910736
30,-0.5199764311389311,-0.5919086183185143,0.05381835455450244,0.5737947856934336
40,-0.47060860798983145,-1.0625172263083458,0.04754712109155884,0.5181557290813903
50,0.013275538401624765,-1.049241687906721,-0.5550711841699266,-0.5683467225715514
60,0.17867978322673286,-0.8705619046799882,-0.053001714647499525,-0.2316814978742324
70,0.14487891373587977,-0.7256829909441084,0.07225437449059112,-0.07262453924528865
80,-0.01927818961334958,-0.744961180557458,0.12239019277872897,0.14166838239207855
90,0.28345487798840174,-0.4615063025690562,0.4761133728104228,0.19265849482202108
100,-0.6253469227869064,-1.0868532253559626,-0.40454294733810076,0.22080397544880562
110,-0.021949990727836197,-1.1088032160837988,0.09688737220523279,0.11883736293306899
120,0.32571826259569536,-0.7830849534881035,0.2381786458352135,-0.08753961676048183
130,-0.07032233819197625,-0.8534072916800797,0.42897772583166144,0.4993000640236377
140,-0.8650425565917875,-1.718449848271867,-0.05572659841169609,0.8093159581800914
150,0.07981261332511635,-1.6386372349467506,-0.11246719513967818,-0.19227980846479453
160,0.28745506586683334,-1.3511821690799173,0.20549896663085596,-0.08195609923597741
170,-1.7413477436942548,-3.092529912774172,0.02463147237631108,1.7659792160705658
180,-0.796492655519024,-3.8890225682931963,-0.1741055373445816,0.6223871181744425
190,-0.6781574697569237,-4.56718003805012,-0.07051483197974702,0.6076426377771766
200,1.4104212362460105,-3.1567588018041093,0.11863228773467104,-1.2917889485113394
210,0.5148348248019109,-2.6419239770021985,0.11399397904137011,-0.4008408457605408
220,0.38934145051358926,-2.2525825264886095,0.15487511799206338,-0.23446633252152585
230,1.163387308053275,-1.0891952184353344,0.2724489654153932,-0.8909383426378819
240,0.5352778503929561,-0.5539173680423783,0.24597270308813562,-0.2893051473048204
250,0.3608001339763961,-0.19311723406598225,0.05026851064175262,-0.31053162333464346
260,0.49220693106905367,0.2990896970030714,0.4717095918657954,-0.020497339203258223
270,-0.357854664649472,-0.0587649676464006,0.04377519108890311,0.4016298557383751
280,0.18846360823940878,0.12969864059300817,0.09629745027432286,-0.09216615796508591
290,0.3537926692122664,0.48349130980527455,0.33360083562969983,-0.02019183358256654
300,0.12426363101414212,0.6077549408194167,0.23367025732371582,0.1094066263095737
310,0.5900136248259552,1.1977685656453718,0.09464529586942085,-0.4953683289565344
320,-0.09234060132024519,1.1054279643251266,-0.04599351560711081,0.04634708571313438
330,0.5387268005420577,1.6441547648671841,0.12693844696081022,-0.41178835358124743
340,0.30077125814287287,1.9449260230100571,0.24173932810764143,-0.05903193003523144
350,1.5693056649933532,3.5142316880034103,1.2032963745233864,-0.36600929046996666
