frame_no,absolute_rotation,net_absolute_rotation
10,0.15288570551194386,0.15288570551194386
20,0.047868161611818144,0.200753867123762
30,0.14460995988026065,0.3453638270040227
40,0.14251050689433248,0.48787433389835516
50,-0.007723288123373163,0.480151045774982
60,0.01709666860394746,0.4972477143789295
70,0.03454912453271533,0.5317968389116449
80,0.06482830870710364,0.5966251476187485
90,0.07290000018928205,0.6695251478080306
100,-0.31910615108914947,0.35041899671888116
110,-0.3265760916069663,0.023842905111914836
120,-0.11704451098407662,-0.09320160587216178
130,-0.6389117633484436,-0.7321133692206053
140,0.4388382677783642,-0.2932751014422411
150,0.016720769499038956,-0.27655433194320217
160,-0.26266396196264646,-0.5392182939058486
170,0.03709158215505733,-0.5021267117507913
180,-0.17436046102001806,-0.6764871727708093
190,0.3764154903033379,-0.3000716824674714
200,-0.4793417186610882,-0.7794134011285596
210,0.08264405537409689,-0.6967693457544627
220,-0.2677907309798909,-0.9645600767343536
230,-0.06143665616549023,-1.0259967328998438
240,-0.15371695665126875,-1.1797136895511127
250,-0.3613398802038461,-1.5410535697549588
260,-0.2618004550382999,-1.8028540247932587
270,0.3494410456855034,-1.4534129791077555
280,-0.18046516982742355,-1.633878148935179
290,-0.3059717515256956,-1.9398499004608747
300,-0.3478151926046523,-2.287665093065527
310,-0.2016836968321076,-2.4893487898976345
320,0.15021286619769342,-2.339135923699941
330,0.19763228384139395,-2.141503639858547
340,-0.09727157616036201,-2.2387752160189094
350,0.4285769633186944,-1.810198252700215
360,-0.03538696267909471,-1.8455852153793098
370,-0.11405074338335344,-1.9596359587626633
380,-0.28525561054977977,-2.244891569312443
390,-0.1369601269317057,-2.3818516962441487
400,0.04733305192856459,-2.334518644315584
410,0.05734087519381303,-2.277177769121771
420,0.45997679796347446,-1.8172009711582966
430,-0.09957843615347561,-1.9167794073117723
440,-0.1153477438985182,-2.0321271512102905
450,0.3998582627803156,-1.632268888429975
460,0.20651050848375008,-1.4257583799462248
470,-0.47220294516528066,-1.8979613251115055
