frame_no,com_x,com_y,com_z,dcom_x,dcom_y,dcom_z
10,-1.6168783395242603,3.548866778971968,-0.5189801899848611,0.0006694317898598978,-0.00016190313385999744,0.0002053645077396693
20,-1.6145168095674503,3.549069307644745,-0.5177679164111745,0.0030309617466699468,4.062553891692744e-05,0.0014176380814262535
30,-1.611782131810835,3.549738232540367,-0.5168714926782081,0.005765639503285236,0.0007095504345389081,0.002314061814392643
40,-1.6087264369678032,3.5513500515103535,-0.5159080730989253,0.008821334346317045,0.0023213694045254307,0.003277481393675452
50,-1.6054880804791216,3.5519618629588803,-0.5157897051499114,0.012059690834998582,0.002933180853052164,0.0033958493426893277
60,-1.601479038429582,3.5526688188487494,-0.516311065612711,0.01606873288453814,0.003640136742921296,0.002874488879889725
70,-1.5968888064121727,3.5540413472888077,-0.5171549988475314,0.02065896490194752,0.005012665182979603,0.0020305556450693762
80,-1.5919922537919369,3.5546908836052786,-0.5186595142680243,0.025555517522183324,0.005662201499450514,0.0005260402245764739
90,-1.5879137556609024,3.5557642524798894,-0.521295026647319,0.02963401565321777,0.0067355703740612505,-0.0021094721547182393
100,-1.586482070429086,3.5577369698716446,-0.5252262395993982,0.03106570088503413,0.008708287765816447,-0.00604068510679745
110,-1.5863541632667109,3.559618749773058,-0.529045732238636,0.031193608047409338,0.010590067667229697,-0.009860177746035315
120,-1.5865675519373255,3.560067783380298,-0.5310137720667099,0.030980219376794738,0.011039101274469942,-0.011828217574109123
130,-1.5861716329760245,3.5607566976765597,-0.5318240344254711,0.031376138338095716,0.011728015570731554,-0.012638479932870372
140,-1.5861990799455246,3.5625683724362207,-0.5326663660315567,0.03134869136859564,0.013539690330392595,-0.013480811538955972
150,-1.5866314829713732,3.5640556349088364,-0.533624069376265,0.030916288342746956,0.015026952803008253,-0.014438514883664322
160,-1.5867016631979285,3.5661870378175355,-0.5333097431338069,0.030846108116191706,0.01715835571170743,-0.014124188641206126
170,-1.5875234592511105,3.5693999311409335,-0.5324198938569078,0.030024312063009706,0.020371249035105343,-0.013234339364307068
180,-1.5883258765074124,3.5729238873553517,-0.5312408775326806,0.029221894806707782,0.0238952052495236,-0.012055323040079835
190,-1.5886367888851838,3.577128937733716,-0.5301823501974512,0.028910982428936416,0.028100255627887982,-0.01099679570485046
200,-1.5895770036165107,3.581741330722614,-0.5280532094965484,0.027970767697609533,0.03271264861678569,-0.008867655003947705
210,-1.5905516141523466,3.5849903019044587,-0.5252872732442418,0.026996157161773615,0.03596161979863055,-0.0061017187516411164
220,-1.5916196489581276,3.5874526809898524,-0.5226583525199808,0.025928122355992622,0.03842399888402426,-0.0034727980273800974
230,-1.5928781639756442,3.5893107813939893,-0.5205770897321835,0.024669607338476007,0.04028209928816118,-0.0013915352395827973
