frame_no,translation
10,2.339026290319417e-13
20,2.1450512733261646e-13
30,2.9890391551459644e-13
40,1.7799086566280005e-13
50,1.9953439375755542e-13
60,7.881358647120991e-14
70,1.3776549523548572e-13
80,9.568138594251124e-14
90,4.4642322325714925e-13
100,3.8540567938051517e-13
110,3.7056458120588564e-13
120,5.063696080661456e-13
130,7.458690889164604e-13
140,6.731803739632501e-13
150,6.900644987191029e-13
160,1.105033753408302e-12
170,1.0112146699703482e-12
180,1.2043228393098285e-12
190,1.2223583324070004e-12
200,1.3622432158135233e-12
210,1.3752470503669872e-12
220,1.0549602887105982e-12
230,1.3361532407165615e-12
240,1.569341027927851e-12
250,1.853296341230992e-12
260,1.7778863170158844e-12
270,1.691884635496632e-12
280,1.8370932189148915e-12
290,1.7874709619980133e-12
300,1.7632262712488581e-12
310,1.5692884132938876e-12
320,1.5147521959712716e-12
330,1.9574564609269836e-12
340,2.081215176522971e-12
350,2.0080539952823915e-12
360,1.6859279532932899e-12
370,1.3869777910897562e-12
380,9.81422672548412e-13
390,1.0754616602785238e-12
400,1.287553814333716e-12
410,1.4694155686880165e-12
420,1.6094248163749496e-12
430,1.7024661193619377e-12
440,1.5138920123220143e-12
450,1.6555512290444732e-12
460,1.6786521549587155e-12
470,1.8173905711293013e-12
480,2.116888116029563e-12
490,1.9562268570576603e-12
500,1.6062557041130021e-12
510,1.4977031488304997e-12
520,1.28841660945941e-12
530,1.1095746378170456e-12
540,1.1305690241499994e-12
550,1.0929941418572645e-12
560,6.716299614484112e-13
570,4.105067421161054e-13
580,5.518567251256644e-13
590,7.283775435394167e-13
600,7.652981230540578e-13
610,7.304046010769383e-13
620,6.577115991386835e-13
630,1.0119331439543283e-12
640,1.3874738389499888e-12
650,7.104544933647154e-13
660,7.758800015806651e-13
670,6.764445474008524e-13
680,5.404111246774579e-13
690,6.359432536048881e-13
700,8.370830725537095e-13
710,1.0609738933888035e-12
720,9.901043357517894e-13
730,1.0431890531675042e-12
740,1.1471022791462104e-12
750,1.2936672059222174e-12
760,1.3388390004090667e-12
770,1.4702434668756925e-12
780,1.4631262300330237e-12
790,1.5235475540231507e-12
800,1.4323890883286752e-12
810,1.2008965947794349e-12
820,1.1489701236568636e-12
830,1.1036810997045316e-12
840,1.3245321503849052e-12
850,1.2292060204264745e-12
860,1.0802916618709695e-12
870,9.341429771691184e-13
880,8.994943546405589e-13
890,6.922311016128942e-13
900,6.196762806969051e-13
910,5.750750791648997e-13
920,7.179440888627738e-13
930,8.476082539577937e-13
940,1.0644116101681524e-12
950,1.3220701236477505e-12
960,1.5189173964033517e-12
970,1.5557984976873482e-12
980,1.3715992685536475e-12
990,1.2123281457238154e-12
1000,1.2654548183917328e-12
1010,1.1745335560526709e-12
1020,1.257041332352247e-12
1030,1.3552593994012996e-12
1040,1.5618212293283565e-12
1050,1.4481280235305075e-12
1060,1.3058855250729083e-12
1070,9.744182401964214e-13
1080,1.3551664184098481e-12
1090,1.7061599551191175e-12
1100,1.723727839934518e-12
1110,1.6434340862092427e-12
1120,1.578429596552907e-12
1130,1.3706592604016537e-12
1140,1.2907659102245354e-12
1150,1.0194896002217921e-12
1160,8.275295528704224e-13
1170,9.550813765331752e-13
1180,1.139187041147742e-12
1190,1.1472681862788035e-12
1200,1.2260128742314605e-12
1210,9.614208145080706e-13
1220,1.0011070809557748e-12
1230,9.475351102660229e-13
1240,7.760866947290668e-13
1250,9.245657861625913e-13
1260,9.958523890656839e-13
1270,1.2098568059988903e-12
1280,9.866859063929873e-13
1290,1.149328154311134e-12
1300,1.2935513334712167e-12
1310,1.1397920061115095e-12
1320,7.72673058208409e-13
1330,5.711473582396157e-13
1340,5.373282539651817e-13
1350,6.873934039005654e-13
1360,6.640389212600039e-13
1370,5.15373672281388e-13
1380,5.290128620529204e-13
1390,3.578302514530688e-13
1400,3.055893782646631e-13
1410,1.4544585567222664e-13
1420,1.6420238768327444e-13
1430,2.3302828904547216e-13
1440,4.263000006003723e-13
1450,1.3568727224744023e-13
1460,5.467624421129413e-13
1470,7.475033805623263e-13
1480,8.782188643522696e-13
1490,8.647717990479186e-13
1500,6.65797955044863e-13
1510,5.045722793755476e-13
1520,3.181576280242547e-13
1530,5.129530989676085e-13
1540,4.1312657031354606e-13
1550,4.612867284039497e-13
1560,4.888990445410506e-13
1570,3.411141169520072e-13
1580,3.823465124741007e-13
1590,7.793521132727845e-14
1600,-3.8840419996104137e-13
1610,-4.207671301180183e-14
1620,1.3723385669528683e-13
1630,-1.5332102947518008e-13
1640,-5.802833853876808e-13
1650,-9.594804675505157e-13
1660,-1.0005420969292268e-12
1670,-1.0556313752653127e-12
1680,-1.4227668836039387e-12
1690,-4.470142145782275e-13
1700,3.3660933731647565e-13
1710,5.878819344186749e-13
1720,1.6846723575376778e-12
1730,1.8671053773596146e-12
1740,2.1117825220775793e-12
1750,2.291968257853339e-12
1760,2.442448573396116e-12
1770,2.565844873019414e-12
1780,2.695331203423802e-12
1790,2.493948165362377e-12
1800,2.472532544840106e-12
1810,2.2822638208026378e-12
1820,2.1623464709626206e-12
1830,2.23334780114081e-12
1840,2.19490887665333e-12
1850,2.332448708664854e-12
1860,2.5507623280368846e-12
1870,2.437492710772541e-12
1880,2.3190156384406326e-12
1890,2.2372716850593503e-12
1900,1.864099104755122e-12
1910,1.6992021821224685e-12
1920,1.5907098907028257e-12
1930,1.6591039343127827e-12
1940,1.7471366538130335e-12
1950,1.8550667112291e-12
1960,1.7126787952748176e-12
1970,1.2873221035673162e-12
1980,1.255433586938021e-12
1990,1.5849179365536913e-12
2000,1.89589412591616e-12
2010,2.210890196180423e-12
2020,2.357837176872618e-12
2030,2.7369283762181293e-12
2040,3.0715193843115757e-12
2050,2.9985683406845497e-12
2060,2.433945881371175e-12
2070,2.244773288645155e-12
2080,1.867168921492556e-12
2090,1.8071970707574643e-12
2100,1.5354789347210672e-12
2110,1.5906911266666395e-12
2120,2.105817026846343e-12
2130,2.0197319480199475e-12
2140,1.9373986016984096e-12
2150,1.7638807931821577e-12
2160,1.3548892655601152e-12
2170,1.5621838431895642e-12
2180,1.3941810380851219e-12
2190,1.59617240467073e-12
2200,1.5750149908411017e-12
2210,1.3147089658612066e-12
2220,1.1573481474123947e-12
2230,1.270012178743186e-12
2240,1.3828172656111065e-12
2250,1.2614223137671686e-12
2260,1.246714649031319e-12
2270,1.355929157693355e-12
2280,1.7159453779672309e-12
2290,1.797824480308205e-12
2300,1.7265815306346002e-12
2310,1.642840610390388e-12
2320,1.833521563746684e-12
2330,1.772929563842206e-12
2340,1.8538697470662043e-12
2350,2.0981330742632796e-12
2360,1.830147877119919e-12
2370,1.6137151238219386e-12
2380,1.9308240741396457e-12
2390,2.0465232009641528e-12
2400,2.0454226933383505e-12
2410,1.7994720518990924e-12
2420,1.7346621660222902e-12
2430,1.828107278719957e-12
2440,1.903579739549523e-12
2450,1.9417632031510127e-12
2460,2.0451905935203934e-12
2470,1.912079188071256e-12
2480,1.8339538698653415e-12
2490,1.7292639172571307e-12
2500,1.6259386133780904e-12
2510,1.6220813959180065e-12
2520,1.7319321052667053e-12
2530,1.9595985729325786e-12
2540,2.0606982579929094e-12
2550,2.0525419674399618e-12
2560,2.2013926342978927e-12
2570,1.936872456692231e-12
2580,1.868625304228378e-12
2590,1.5675984000980094e-12
2600,1.4123023117370322e-12
2610,1.491476544540877e-12
2620,1.4024768077593529e-12
2630,1.4741907730034956e-12
2640,1.4012877979506446e-12
2650,1.4542602432304581e-12
2660,1.6232380992411442e-12
2670,1.6482223122996817e-12
2680,1.49451183279281e-12
2690,1.0944792450299345e-12
2700,1.2116646581698739e-12
2710,1.1579527959275244e-12
2720,1.2222827618739256e-12
2730,1.4395721333638935e-12
2740,1.2235490127452799e-12
2750,1.6167302277534119e-12
2760,2.0072905245770493e-12
2770,2.0395678635783975e-12
2780,1.962701578138918e-12
2790,1.9034125804173635e-12
2800,1.8469907278414712e-12
2810,1.8245473755454945e-12
2820,1.9590372408574543e-12
2830,2.2830981031833407e-12
2840,2.3973171734039515e-12
2850,2.3796675835551764e-12
2860,2.2530996039825418e-12
2870,2.3670508797425982e-12
2880,2.4114911181897224e-12
2890,2.6495898455969896e-12
2900,2.7092402168409667e-12
2910,2.598400465483531e-12
2920,2.5297704677714034e-12
2930,2.26598579165135e-12
2940,2.0666216175050506e-12
2950,2.1935691488781862e-12
2960,1.916100624646095e-12
2970,1.5811031029713977e-12
2980,1.4445564879799203e-12
2990,1.5061517168339956e-12
3000,1.2263956524985633e-12
3010,1.1600150245973627e-12
3020,1.27230632885941e-12
3030,1.2118269079246103e-12
3040,1.5225981393996121e-12
3050,1.6518942004801502e-12
3060,1.8324719842065647e-12
3070,1.8425481356258945e-12
3080,1.8472973208027726e-12
3090,2.0124396081515394e-12
3100,1.963747866541006e-12
3110,1.8075206802136113e-12
3120,1.4864797661521278e-12
3130,1.3513955358661696e-12
3140,1.0801501099503624e-12
3150,1.191506710691018e-12
3160,1.0704275179711948e-12
3170,1.0390442890297042e-12
3180,1.430130867819541e-12
3190,1.0534162435825056e-12
3200,8.682795349268418e-13
3210,7.423645519299491e-13
3220,6.57726853193842e-13
3230,5.169425299173621e-13
3240,-1.026542009669214e-15
3250,-4.2735204476817993e-13
3260,-1.059562377329262e-12
3270,-1.2592782492151038e-12
3280,-1.2913073036475177e-12
3290,-1.0026796997340357e-12
3300,-8.109067340886409e-13
3310,-7.967883845085147e-13
3320,-2.908269590561708e-13
