frame_no,relative_translation,net_relative_translation
2120,-8.005357563233218e-13,7.631021633437961e-12
2130,-1.0562447247948627e-12,6.574776908643098e-12
2140,-1.3622781352510733e-12,5.212498773392025e-12
2150,4.95537458971916e-13,5.708036232363941e-12
2160,7.274845614704942e-13,6.435520793834435e-12
2170,1.3394292703956002e-13,6.569463720873995e-12
2180,-1.9034048911336313e-12,4.666058829740364e-12
2190,-1.886553209849394e-12,2.7795056198909703e-12
2200,-1.0123781186275576e-12,1.7671275012634127e-12
2210,7.668291234217183e-13,2.533956624685131e-12
2220,4.69636506806834e-13,3.003593131491965e-12
2230,-3.3441832150104494e-13,2.66917480999092e-12
2240,-1.0026397837425803e-12,1.6665350262483398e-12
2250,-2.9806790070076305e-13,1.3684671255475767e-12
2260,-9.074915377870055e-13,4.609755877605712e-13
2270,-1.1227742791739735e-12,-6.617986914134023e-13
2280,-1.9206980344408383e-12,-2.5824967258542406e-12
2290,-1.5460969234114472e-12,-4.128593649265688e-12
2300,-1.3479881575847257e-12,-5.476581806850414e-12
2310,1.4941668018873556e-12,-3.982415004963058e-12
2320,-2.0409887310820586e-12,-6.023403736045117e-12
2330,-2.0883938850406405e-12,-8.111797621085757e-12
2340,-2.167486281023242e-12,-1.0279283902109e-11
2350,-2.3086191281792055e-12,-1.2587903030288205e-11
2360,-2.5383557133651256e-12,-1.512625874365333e-11
2370,-1.6836066381451294e-12,-1.680986538179846e-11
2380,-1.2383151013649705e-13,-1.6933696891934958e-11
2390,2.011576746946737e-12,-1.4922120144988222e-11
2400,1.9518841334954566e-12,-1.2970236011492765e-11
2410,-1.470461414811398e-12,-1.4440697426304164e-11
2420,-2.3808821859727765e-12,-1.682157961227694e-11
2430,2.4179704604575605e-12,-1.440360915181938e-11
2440,1.1217350305932434e-12,-1.3281874121226137e-11
2450,-9.680830215821844e-13,-1.4249957142808322e-11
2460,-1.8717568716369804e-12,-1.6121714014445303e-11
2470,1.476146289451917e-12,-1.4645567724993385e-11
2480,4.287874334332167e-13,-1.4216780291560168e-11
2490,8.415627337438194e-13,-1.3375217557816348e-11
2500,-1.4018474341754163e-13,-1.351540230123389e-11
2510,3.0184159385846635e-13,-1.3213560707375423e-11
2520,4.57194275533327e-13,-1.2756366431842096e-11
2530,-5.709808295372657e-13,-1.3327347261379362e-11
2540,4.730579830908834e-13,-1.2854289278288477e-11
2550,5.032232033241945e-13,-1.2351066074964283e-11
2560,7.676373302475781e-13,-1.1583428744716704e-11
2570,-6.981293281813919e-13,-1.2281558072898096e-11
2580,3.147775563374141e-13,-1.1966780516560682e-11
2590,1.0458493840791172e-13,-1.186219557815277e-11
2600,8.879350321836327e-13,-1.0974260545969137e-11
2610,1.095445466714647e-14,-1.096330609130199e-11
2620,2.8817778499146314e-13,-1.0675128306310526e-11
2630,-5.034940369671864e-13,-1.1178622343277713e-11
2640,-2.0961928972416312e-13,-1.1388241633001876e-11
2650,9.09747198400631e-13,-1.0478494434601245e-11
2660,9.985872797528672e-13,-9.479907154848378e-12
2670,8.300221096024632e-14,-9.396904943888132e-12
2680,7.871422456720187e-13,-8.609762698216113e-12
2690,8.076758873564945e-13,-7.802086810859617e-12
2700,7.858757895508194e-13,-7.016211021308798e-12
2710,2.5780330824327123e-13,-6.7584077130655266e-12
2720,2.1874484445176082e-14,-6.73653322862035e-12
2730,4.052837453896081e-13,-6.331249483230742e-12
2740,-2.9924154765463563e-13,-6.630491030885378e-12
2750,2.0108527065675703e-13,-6.429405760228621e-12
2760,5.864003890687984e-14,-6.370765721321741e-12
2770,4.284424048221201e-14,-6.327921480839529e-12
2780,4.222617051502148e-13,-5.905659775689314e-12
2790,-4.397580349354778e-13,-6.3454178106247914e-12
2800,1.3732504574689341e-13,-6.208092764877898e-12
2810,2.6506171826792295e-13,-5.943031046609975e-12
2820,-4.6281335626721715e-15,-5.947659180172647e-12
2830,2.9537166429971977e-13,-5.652287515872927e-12
2840,5.422113333504622e-13,-5.110076182522465e-12
2850,6.591847715597397e-13,-4.450891410962725e-12
2860,3.9519727197990695e-13,-4.055694138982818e-12
2870,5.199664363394876e-13,-3.53572770264333e-12
2880,5.417506625570393e-13,-2.993977040086291e-12
2890,7.699410119047537e-14,-2.9169829388958156e-12
2900,-3.27170647352554e-13,-3.2441535862483696e-12
2910,1.6826498184222278e-13,-3.075888604406147e-12
2920,8.465526762673324e-14,-2.9912333367794137e-12
2930,-3.8054258328302924e-13,-3.371775920062443e-12
2940,-1.1762264059055525e-13,-3.4893985606529982e-12
2950,-8.031385612218201e-13,-4.2925371218748185e-12
2960,-9.448425970787738e-13,-5.237379718953592e-12
2970,-1.1597464623755446e-12,-6.3971261813291365e-12
2980,-8.691174378551324e-13,-7.266243619184269e-12
2990,-1.3152383544908748e-12,-8.581481973675144e-12
3000,-7.518727080990959e-14,-8.656669244485053e-12
3010,-1.6040867521181024e-12,-1.0260755996603156e-11
3020,-1.860174671545986e-12,-1.2120930668149142e-11
3030,-1.5897397512508058e-12,-1.3710670419399949e-11
3040,-7.36119529078405e-14,-1.378428237230779e-11
3050,-6.280026632358414e-13,-1.441228503554363e-11
3060,-9.2288926276904e-13,-1.533517429831267e-11
3070,-1.5497896194533069e-12,-1.6884963917765975e-11
3080,-5.849945608906067e-13,-1.7469958478656583e-11
3090,1.3131271064753712e-14,-1.745682720759183e-11
3100,1.3942334347211332e-12,-1.6062593772870694e-11
3110,-1.355327900221104e-12,-1.7417921673091797e-11
3120,-2.3539044405890367e-13,-1.7653312117150702e-11
3130,8.14880812452573e-13,-1.683843130469813e-11
3140,1.0396783610014168e-13,-1.673446346859799e-11
3150,6.02771661720271e-13,-1.6131691806877717e-11
3160,1.1217865962382858e-12,-1.500990521063943e-11
3170,3.21671116229096e-13,-1.4688234094410335e-11
3180,1.567427386880223e-12,-1.3120806707530112e-11
3190,-8.31057681750522e-13,-1.3951864389280634e-11
3200,7.351298923990265e-13,-1.3216734496881608e-11
3210,4.165879160898528e-13,-1.2800146580791754e-11
3220,8.025305552810634e-13,-1.199761602551069e-11
3230,-5.554954879028927e-13,-1.2553111513413583e-11
3240,-3.4293484320204313e-13,-1.2896046356615625e-11
3250,-6.867851208578827e-13,-1.3582831477473508e-11
3260,5.401033826062749e-13,-1.3042728094867233e-11
3270,-6.690201222090452e-14,-1.3109630107088138e-11
3280,2.31195116536065e-13,-1.2878434990552074e-11
3290,5.38881655046604e-13,-1.233955333550547e-11
3300,-4.4335622971658934e-13,-1.2782909565222058e-11
3310,-5.368437177080505e-13,-1.3319753282930109e-11
3320,-5.273618907005185e-13,-1.3847115173630627e-11
3330,-5.444180783983518e-14,-1.3901556981470462e-11
3340,-1.0055679203116273e-12,-1.490712490178209e-11
3350,-1.2385622771016335e-12,-1.6145687178883726e-11
3360,-1.4358454046208641e-12,-1.758153258350459e-11
3370,-1.158680336419272e-12,-1.874021291992386e-11
3380,-1.3293377819459396e-12,-2.00695507018698e-11
3390,-1.8345774469154792e-12,-2.190412814878528e-11
3400,-1.8256027042484777e-12,-2.3729730853033756e-11
3410,-1.5892089434043692e-12,-2.5318939796438126e-11
3420,-1.1579811325225906e-12,-2.6476920928960716e-11
3430,-2.2932073356419065e-12,-2.8770128264602623e-11
3440,2.6718649232165884e-12,-2.6098263341386035e-11
3450,-1.4329231213577144e-12,-2.753118646274375e-11
3460,-4.921370168782816e-13,-2.802332347962203e-11
3470,-2.888983593158607e-12,-3.0912307072780637e-11
3480,2.447931467669634e-12,-2.8464375605111004e-11
3490,2.6790254521385446e-12,-2.578535015297246e-11
3500,2.305114017414273e-12,-2.3480236135558184e-11
3510,2.569725009749163e-12,-2.091051112580902e-11
3520,1.991065729487465e-12,-1.8919445396321554e-11
3530,2.7632921730363694e-12,-1.6156153223285184e-11
3540,2.8005860557285287e-12,-1.3355567167556655e-11
3550,1.925231929844558e-12,-1.1430335237712097e-11
3560,2.1260746903357653e-12,-9.304260547376332e-12
3570,1.058459022633643e-12,-8.245801524742688e-12
3580,5.140085471185975e-13,-7.73179297762409e-12
3590,-1.7965114308042963e-12,-9.528304408428387e-12
3600,1.4031086246217619e-12,-8.125195783806625e-12
3610,1.3805028047691171e-12,-6.744692979037509e-12
3620,8.646698944322482e-13,-5.8800230846052604e-12
3630,-9.507525228055888e-16,-5.880973837128066e-12
3640,-3.1196513952976153e-13,-6.192938976657828e-12
3650,-2.6955832524171017e-13,-6.462497301899538e-12
3660,5.122866686651154e-13,-5.950210633234422e-12
3670,8.416981033366876e-13,-5.108512529897735e-12
3680,6.749733492208104e-13,-4.433539180676924e-12
3690,5.734178533652775e-14,-4.376197395340396e-12
3700,6.964238499126924e-13,-3.679773545427704e-12
3710,-9.726059545746292e-14,-3.777034140885167e-12
3720,-1.2021901546446588e-12,-4.9792242955298254e-12
3730,-6.407158523266664e-13,-5.6199401478564916e-12
3740,-6.085307559226097e-13,-6.2284709037791016e-12
3750,-1.1403006891058735e-13,-6.342500972689689e-12
3760,-2.1992149149322512e-13,-6.562422464182914e-12
3770,-1.500692930395008e-13,-6.712491757222415e-12
3780,-4.434329032817817e-13,-7.155924660504197e-12
3790,-2.8847825683557723e-14,-7.1847724861877544e-12
3800,4.31879393560961e-13,-6.752893092626794e-12
3810,3.2908545493348103e-13,-6.423807637693312e-12
3820,2.2318232665212858e-13,-6.2006253110411835e-12
3830,-3.9945697323732e-13,-6.6000822842785035e-12
3840,-6.945627692096264e-13,-7.29464505348813e-12
3850,3.9135679042702764e-13,-6.903288263061102e-12
3860,3.778079729395086e-13,-6.525480290121593e-12
3870,8.02068812854648e-13,-5.723411477266946e-12
3880,-6.674765120024695e-13,-6.390887989269415e-12
3890,-2.2447876440503866e-13,-6.615366753674454e-12
3900,-3.770703601897716e-13,-6.992437113864225e-12
3910,-1.7544571303184288e-12,-8.746894244182655e-12
3920,1.131109715433811e-13,-8.633783272639274e-12
3930,-3.225312039676586e-13,-8.956314476606932e-12
3940,2.0998686008528002e-12,-6.856445875754132e-12
3950,1.843809342881894e-12,-5.012636532872238e-12
3960,2.097725419400667e-12,-2.9149111134715713e-12
3970,1.6168722918512241e-12,-1.2980388216203471e-12
3980,1.1169944283208614e-12,-1.8104439329948577e-13
3990,1.5673384261803649e-12,1.3862940328808791e-12
4000,1.2700551161663437e-12,2.656349149047223e-12
4010,1.6776810512701326e-12,4.334030200317356e-12
4020,1.553473398050749e-12,5.887503598368105e-12
4030,1.2693044441098326e-12,7.156808042477938e-12
4040,4.025757456772713e-13,7.559383788155209e-12
4050,1.0147394739159865e-12,8.574123262071195e-12
4060,4.199452308885876e-13,8.994068492959782e-12
4070,9.940754991548415e-13,9.988143992114624e-12
4080,1.1968467829013922e-12,1.1184990775016015e-11
4090,7.634072400187695e-13,1.1948398015034785e-11
4100,-1.4330243394790538e-12,1.0515373675555732e-11
4110,4.433953062409183e-13,1.095876898179665e-11
4120,7.81767486164365e-13,1.1740536467961016e-11
4130,8.649155106795713e-13,1.2605451978640588e-11
4140,5.664676144627106e-13,1.3171919593103299e-11
4150,9.637113370223647e-13,1.4135630930125663e-11
4160,7.976133807838338e-13,1.4933244310909497e-11
4170,-9.042205061456536e-14,1.484282226029493e-11
4180,-4.820732816235921e-13,1.4360748978671339e-11
4190,9.95352980786365e-13,1.5356101959457705e-11
4200,1.1531094315895562e-12,1.650921139104726e-11
4210,1.1194391145408283e-12,1.7628650505588088e-11
4220,7.103685461526576e-13,1.8339019051740746e-11
4230,8.109800819557927e-13,1.914999913369654e-11
4240,4.1752286663176984e-13,1.9567522000328308e-11
4250,3.939486161857601e-13,1.9961470616514067e-11
4260,-1.6946517418403583e-13,1.9792005442330032e-11
4270,-2.4941841111139827e-13,1.9542587031218635e-11
4280,3.238384531145132e-13,1.9866425484333147e-11
4290,2.824629019977722e-13,2.014888838633092e-11
4300,9.306574091228151e-13,2.1079545795453734e-11
4310,4.940792813127551e-13,2.157362507676649e-11
4320,3.180756787325622e-13,2.189170075549905e-11
4330,4.4014540675530837e-13,2.233184616225436e-11
4340,-2.379064699028764e-13,2.2093939692351485e-11
4350,1.252718298325545e-13,2.221921152218404e-11
4360,2.5260431569318825e-13,2.247181583787723e-11
4370,1.3769968562071808e-13,2.2609515523497947e-11
4380,-3.3023314595802394e-13,2.2279282377539922e-11
4390,1.1266146254763284e-14,2.2290548523794685e-11
4400,3.422431607049147e-13,2.26327916844996e-11
4410,-4.032131277629719e-13,2.2229578556736628e-11
4420,5.663821950542093e-13,2.2795960751790837e-11
4430,5.735182196122085e-13,2.3369478971403047e-11
4440,4.130940905333692e-13,2.3782573061936415e-11
4450,-2.4086157411922627e-13,2.354171148781719e-11
4460,1.965045932973612e-13,2.373821608111455e-11
4470,-4.847582966593516e-13,2.3253457784455198e-11
4480,-5.277055911279883e-13,2.272575219332721e-11
4490,-6.616251926470214e-13,2.2064127000680188e-11
4500,-7.142449554481747e-14,2.1992702505135372e-11
4510,2.0626237529068323e-13,2.2198964880426055e-11
4520,1.132668653701716e-12,2.333163353412777e-11
4530,8.00020274925049e-13,2.413165380905282e-11
4540,-1.8439049722225164e-13,2.394726331183057e-11
4550,-1.3476820224455016e-13,2.3812495109586017e-11
4560,-1.0112933295400492e-12,2.2801201780045968e-11
4570,-2.0128041580282883e-12,2.078839762201768e-11
4580,-2.1551329340290407e-12,1.8633264687988638e-11
4590,3.3378193293883323e-13,1.896704662092747e-11
4600,9.098483727740845e-13,1.9876894993701554e-11
4610,1.3743258356833186e-12,2.1251220829384872e-11
4620,-2.7496863113322426e-13,2.0976252198251647e-11
4630,2.071393257448502e-14,2.099696613082613e-11
4640,9.405333468660485e-14,2.1091019465512736e-11
4650,6.296116911970617e-13,2.1720631156709796e-11
4660,2.91156772379569e-13,2.2011787929089365e-11
4670,-4.2997280970419117e-13,2.1581815119385174e-11
4680,-4.759616612637855e-13,2.110585345812139e-11
4690,-3.4066731892558046e-13,2.0765186139195808e-11
4700,6.67870144767008e-14,2.0831973153672508e-11
4710,1.6966259329200123e-13,2.100163574696451e-11
4720,-4.428396464048322e-13,2.055879610055968e-11
4730,-7.932882213906565e-14,2.0479467278420615e-11
4740,-5.717910305060466e-13,1.9907676247914568e-11
4750,-3.2058076574139747e-13,1.958709548217317e-11
4760,9.780056652701306e-13,2.05651011474433e-11
4770,-1.8566240685549814e-13,2.0379438740587802e-11
4780,8.597984826013427e-13,2.1239237223189144e-11
4790,9.351121035263653e-13,2.217434932671551e-11
4800,-1.7890095231767108e-12,2.03853398035388e-11
4810,-1.952241558408478e-12,1.843309824513032e-11
4820,-1.5667048915139349e-12,1.6866393353616385e-11
4830,-1.8904283639202028e-12,1.4975964989696183e-11
4840,-1.7679189989937968e-12,1.3208045990702385e-11
4850,2.0528251552628897e-12,1.5260871145965276e-11
4860,1.595685310084578e-12,1.6856556456049855e-11
4870,1.425639678261472e-12,1.8282196134311327e-11
4880,1.3113046128321283e-12,1.9593500747143455e-11
4890,1.2172566872079627e-12,2.0810757434351416e-11
4900,6.411741588938321e-13,2.1451931593245248e-11
4910,-9.934930634223441e-13,2.0458438529822905e-11
4920,3.752192889996853e-13,2.083365781882259e-11
4930,2.8413846268865793e-13,2.1117796281511248e-11
4940,5.181437436712175e-13,2.1635940025182465e-11
4950,-1.056999019430386e-12,2.057894100575208e-11
4960,-6.844200332406597e-13,1.989452097251142e-11
4970,8.750241953085339e-13,2.0769545167819952e-11
4980,3.39342594320685e-13,2.1108887762140638e-11
4990,7.273949844097585e-13,2.1836282746550395e-11
5000,6.950289485864793e-13,2.2531311695136876e-11
5010,-4.045841175170861e-14,2.2490853283385166e-11
5020,-7.529136627397684e-13,2.1737939620645398e-11
5030,4.918129180589158e-13,2.2229752538704314e-11
5040,-7.554260461751818e-13,2.1474326492529132e-11
5050,-1.1853234490844145e-13,2.135579414762069e-11
5060,-1.179913604466977e-12,2.0175880543153714e-11
5070,-6.369474835892696e-13,1.9538933059564445e-11
5080,-4.3558521631829785e-13,1.9103347843246147e-11
5090,-1.1897354314814532e-12,1.7913612411764693e-11
5100,-1.113771342254698e-12,1.6799841069509995e-11
5110,-1.1427615160201753e-12,1.565707955348982e-11
5120,-1.18302675709594e-12,1.447405279639388e-11
5130,-1.3912648553964286e-12,1.3082787940997451e-11
5140,-8.974074778126361e-14,1.2993047193216188e-11
5150,6.44612415919255e-13,1.3637659609135443e-11
5160,-5.392208214467662e-13,1.3098438787688677e-11
5170,-1.1097161264196344e-12,1.1988722661269043e-11
5180,-1.3753473321259155e-12,1.0613375329143128e-11
5190,-7.520484946650921e-13,9.861326834478036e-12
5200,-9.728968890006123e-13,8.888429945477423e-12
5210,9.365882476515332e-13,9.825018193128956e-12
