frame_no,com_x,com_y,com_z,dcom_x,dcom_y,dcom_z
10,22.658426602673224,1.8980451251276955,5.665859881816845,-0.001939274815523362,6.785100746986572e-05,0.001785361315662648
20,22.656871212349458,1.8980007454273955,5.666514930140167,-0.0034946651392893102,2.3471307169842248e-05,0.0024404096389849528
30,22.65533185182091,1.897708782721968,5.667642989938542,-0.005034025667836062,-0.0002684913982575754,0.003568469437359667
40,22.655191530627025,1.8956989098839565,5.669785957861638,-0.005174346861721801,-0.002278364236269148,0.005711437360456095
50,22.65584971530353,1.891254668379931,5.671339128115725,-0.004516162185218775,-0.006722605740294707,0.0072646076145428395
60,22.6582489102782,1.8878345463460449,5.674793380501855,-0.002116967210547216,-0.010142727774180793,0.010718860000673125
70,22.662081789920883,1.8848529915426417,5.679104116809133,0.0017159124321359798,-0.013124282577583912,0.015029596307950754
80,22.667893148297157,1.8807073319417629,5.681012110186954,0.00752727080840998,-0.017269942178462783,0.016937589685771748
90,22.67660462654024,1.877515785345402,5.680025318048591,0.016238749051492363,-0.020461488774823566,0.01595079754740869
100,22.686308254284558,1.8757475389538216,5.679228631406437,0.02594237679581113,-0.02222973516640403,0.015154110905254647
110,22.697609403823986,1.8741489636004685,5.678031053161899,0.03724352633523864,-0.0238283105197572,0.013956532660716725
120,22.707723480875842,1.8736215971787737,5.6769378730558575,0.047357603387094827,-0.02435567694145191,0.012863352554675522
130,22.71809649139179,1.873404088054418,5.678422136169294,0.05773061390304335,-0.024573186065807606,0.014347615668111935
140,22.729091208500737,1.8734793524579234,5.680961328023042,0.06872533101198997,-0.024497921662302247,0.016886807521860447
150,22.74128192714336,1.8733015032619775,5.682080817962945,0.0809160496546113,-0.024675770858248125,0.01800629746176341
160,22.75281296168867,1.8721586960796937,5.682522605430247,0.09244708419992165,-0.025818578040532003,0.018448084929064912
170,22.763261259228805,1.8692071290926497,5.684103006058593,0.10289538174005841,-0.02877014502757591,0.020028485557411102
180,22.77353469230138,1.8652687757083475,5.685156292663255,0.11316881481263152,-0.03270849841187817,0.02108177216207263
190,22.784185687150057,1.8583465103879622,5.685767029398349,0.12381980966130968,-0.039630763732263485,0.021692508897166896
200,22.795980231350633,1.8486736930762753,5.685061027661297,0.13561435386188592,-0.049303581043950384,0.02098650716011541
210,22.80930129233212,1.8372655459726368,5.6883070891938905,0.14893541484337192,-0.06071172814758885,0.02423256869270851
220,22.826247399900108,1.8255048488454473,5.693218894174763,0.165881522411361,-0.07247242527477837,0.02914437367358058
230,22.843163187446915,1.8152418483941755,5.695544953190708,0.18279730995816834,-0.0827354257260502,0.03147043268952565
240,22.862390153736776,1.8056989021594578,5.696242192680708,0.20202427624802866,-0.09227837196076782,0.03216767217952565
250,22.880753617575156,1.7953993763953848,5.694663180240987,0.2203877400864087,-0.10257789772484083,0.030588659739804847
