frame_no,com_x,com_y,com_z,dcom_x,dcom_y,dcom_z
10,-1.6174170783203432,3.54967585550222,-0.5184497042335107,0.00014020420263172184,0.0006419451417971622,0.0007380406056644029
20,-1.6164390806253022,3.550529167393633,-0.5172951170773298,0.0011182018976727548,0.0014952570332100734,0.0018926277618452891
30,-1.6148481778735766,3.55063501008629,-0.5156612228871666,0.0027091046493983306,0.0016010997258670834,0.0035265219520084212
40,-1.6121164391317508,3.551748210326849,-0.5123800810529621,0.005440843391224082,0.00271429996642647,0.006807663786213003
50,-1.6093343788021428,3.5544775411742338,-0.5085747810989583,0.00822290372083212,0.005443630813811051,0.010612963740216808
60,-1.6069163998904537,3.5573398453214313,-0.5046433783722412,0.010640882632521276,0.00830593496100862,0.014544366466933911
70,-1.6039776493219402,3.560108650129334,-0.4992377867159818,0.013579633201034724,0.011074739768911268,0.01994995812319328
80,-1.6025652962623775,3.5631126510376476,-0.493292817591752,0.01499198626059739,0.014078740677224921,0.025894927247423094
90,-1.6030040193947301,3.5653043589599154,-0.48743383856313843,0.014553263128244787,0.01627044859949267,0.031753906276036636
100,-1.603866582585736,3.566241796656063,-0.4826031670400232,0.013690699937239037,0.017207886295640407,0.03658457779915186
110,-1.605491319839034,3.5672523241224927,-0.47832990052053925,0.012065962683941,0.018218413762070007,0.040857844318635816
120,-1.6074478573917106,3.5682744879831603,-0.4740795313126988,0.010109425131264338,0.019240577622737565,0.04510821352647626
130,-1.6091708374818858,3.5694674260786856,-0.4694427718477255,0.008386445041089097,0.020433515718262907,0.04974497299144959
140,-1.611320467788213,3.5690125116345284,-0.46354708019802326,0.006236814734762008,0.019978601274105667,0.055640664641151805
150,-1.6137455925827913,3.5684701786060105,-0.45853684984293036,0.00381168994018366,0.01943626824558775,0.06065089499624471
160,-1.6163705406790394,3.5681034150138773,-0.4540697409180064,0.0011867418439355237,0.019069504653454583,0.06511800392116868
170,-1.618473039285261,3.5680192280304857,-0.4487785217940689,-0.0009157567622861684,0.01898531767006295,0.07040922304510616
180,-1.6209825511797429,3.5682320594867933,-0.4421829815604519,-0.0034252686567679547,0.019198149126370634,0.07700476327872319
190,-1.6237486405633927,3.568413032872833,-0.43510592449855445,-0.006191358040417816,0.019379122512410252,0.08408182034062062
200,-1.625705520353421,3.570223034309146,-0.4287413811187934,-0.008148237830446048,0.02118912394872341,0.09044636372038167
210,-1.6290617695775707,3.5738737173386994,-0.4228500246173268,-0.011504487054595725,0.0248398069782767,0.09633772022184828
220,-1.634398706144537,3.5777843621547656,-0.41724620617363933,-0.016841423621562157,0.02875045179434288,0.10194153866553574
230,-1.6393695663214658,3.581485295274748,-0.4117305488653295,-0.021812283798490872,0.03245138491432531,0.10745719597384557
240,-1.6428927547411205,3.5846757862858607,-0.40633861705424534,-0.025335472218145583,0.035641875925437994,0.11284912778492973
250,-1.6468236346733789,3.5888177779124373,-0.4014790244887797,-0.029266352150403963,0.039783867552014573,0.11770872035039537
260,-1.649904886907712,3.5937856299705637,-0.39701480207847745,-0.03234760438473705,0.044751719610141016,0.12217294276069762
270,-1.653461786405864,3.5987135139109694,-0.39210162843059776,-0.03590450388288913,0.04967960355054668,0.1270861164085773
280,-1.655944860659699,3.6045176123194542,-0.38775456711071893,-0.038387578136724,0.05548370195903152,0.13143317772845614
290,-1.6587656297582845,3.6107987936201167,-0.38336642359289236,-0.04120834723530953,0.06176488325969398,0.1358213212462827
300,-1.661236538249998,3.6173643979352934,-0.37920475162712675,-0.043679255727023136,0.0683304875748707,0.13998299321204832
310,-1.6627650054093848,3.6237504569974353,-0.37400016782475914,-0.04520772288640984,0.07471654663701255,0.14518757701441593
320,-1.6645620886012613,3.6304292719279387,-0.3680426378235815,-0.04700480607828639,0.08139536156751603,0.15114510701559358
330,-1.6666194094915485,3.6374628253191235,-0.3614995585507353,-0.049062126968573594,0.08842891495870076,0.15768818628843978
340,-1.6687030163971914,3.6449356852963484,-0.3567452096888465,-0.051145733874216504,0.09590177493592567,0.16244253515032858
350,-1.6706277945115298,3.6520433500614065,-0.3527464515505885,-0.053070511988554836,0.10300943970098375,0.1664412932885866
360,-1.6732866707627965,3.6580795159329984,-0.34842545702550715,-0.05572938823982154,0.1090456055725757,0.17076228781366792
370,-1.6756084338490713,3.6636973829280857,-0.3451211394803765,-0.058051151326096395,0.11466347256766296,0.1740666053587986
380,-1.678468433923675,3.668564153182562,-0.34230892866969387,-0.060911151400700136,0.11953024282213942,0.1768788161694812
390,-1.682057536018671,3.673932232153667,-0.3401218119034612,-0.06450025349569599,0.12489832179324445,0.17906593293571388
400,-1.6855914373959011,3.678501836984942,-0.33845613888396936,-0.06803415487292619,0.12946792662451934,0.1807316059552057
410,-1.6883223837468464,3.6831369941519796,-0.3370507815967733,-0.07076510122387147,0.1341030837915569,0.18213696324240175
420,-1.6908953436733443,3.6866966288451,-0.3365364108940167,-0.07333806115036934,0.13766271848467726,0.18265133394515837
430,-1.6933322563285989,3.6902963826011765,-0.3362237202924925,-0.07577497380562392,0.14126247224075383,0.1829640245466826
440,-1.695962079043577,3.695872204296631,-0.3353238268504955,-0.07840479652060206,0.1468382939362085,0.18386391798867957
450,-1.6987174452370313,3.701743835850558,-0.33366384860816445,-0.08116016271405635,0.1527099254901354,0.18552389623101062
460,-1.7018802659079721,3.7068109037904304,-0.3320509096589355,-0.08432298338499722,0.15777699343000773,0.18713683518023955
