frame_no,old_axis,old_origin,new_axis,new_origin,axis_difference (deg)
270,"[0.000335279468048455, 0.0025553343152679986, 0.011842449291664003]","[12.402515225673618, 15.92669552520556, 4.745188406711113]",[ 1.09647327 -0.14463412  1.        ],"[12.402515225673618, 15.92669552520556, 4.745188406711113]",49.062986425745166
280,"[0.006690371798608652, -0.011042552990275567, 0.0018977799041683951]","[12.402850505141666, 15.929250859520828, 4.757030856002777]",[ 1.10315284 -0.14764275  1.        ],"[12.402850505141666, 15.929250859520828, 4.757030856002777]",56.03571400286948
290,"[-0.007056553838884483, -0.013537115283330792, -0.0008047005847222621]","[12.409540876940275, 15.918208306530552, 4.758928635906946]",[-1.10940326  0.16107745 -1.        ],"[12.409540876940275, 15.918208306530552, 4.758928635906946]",73.68113584172863
300,"[-0.005965056023612192, -0.007746990318061364, 0.0121142826888887]","[12.40248432310139, 15.904671191247221, 4.7581239353222236]",[ 1.1360492  -0.15778041  1.        ],"[12.40248432310139, 15.904671191247221, 4.7581239353222236]",73.92342907755962
310,"[0.004061567699999102, 0.015869269611117787, 0.010601040127774297]","[12.396519267077778, 15.89692420092916, 4.770238218011112]",[ 1.14180849 -0.1671404   1.        ],"[12.396519267077778, 15.89692420092916, 4.770238218011112]",65.01141678016748
320,"[0.01581328782360991, 0.014694099948608041, 0.005487032648613166]","[12.400580834777777, 15.912793470540278, 4.7808392581388865]",[ 1.1429252  -0.17042404  1.        ],"[12.400580834777777, 15.912793470540278, 4.7808392581388865]",51.78403662057356
330,"[0.004979700225002048, 0.0030946976874943743, -0.007143948341665762]","[12.416394122601387, 15.927487570488886, 4.7863262907875]",[-1.14939366  0.17532879 -1.        ],"[12.416394122601387, 15.927487570488886, 4.7863262907875]",82.03915287798715
340,"[0.0032837481500003207, -0.0003783512680470835, -0.0003406253513915658]","[12.42137382282639, 15.93058226817638, 4.779182342445834]",[ 1.16705477 -0.16660982  1.        ],"[12.42137382282639, 15.93058226817638, 4.779182342445834]",46.212114859873466
350,"[-0.008179284458336156, 0.005296210820828762, 0.025991228288890333]","[12.42465757097639, 15.930203916908333, 4.778841717094442]",[ 1.1905419  -0.17221083  1.        ],"[12.42465757097639, 15.930203916908333, 4.778841717094442]",69.30996273428762
360,"[-0.004404810699998762, -0.001188451577778693, 0.029023757826389662]","[12.416478286518053, 15.935500127729162, 4.804832945383333]",[ 1.19980414 -0.15699323  1.        ],"[12.416478286518053, 15.935500127729162, 4.804832945383333]",58.75062904893626
