frame_no,old_axis,old_origin,new_axis,new_origin,axis_difference (deg)
14420,"[0.0012968916555617938, -0.00509510348333464, -0.005366683348610124]","[11.491103606848613, 16.45301290904583, 6.042252206187501]",[-0.65816019  0.59947901 -1.        ],"[11.491103606848613, 16.45301290904583, 6.042252206187501]",81.66155830507476
14430,"[0.0248977083527695, 0.00676524078471985, 0.0017077538472216602]","[11.489806715193051, 16.458108012529166, 6.047618889536111]",[ 0.66293104 -0.60084283  1.        ],"[11.489806715193051, 16.458108012529166, 6.047618889536111]",65.93405924716488
14440,"[0.014057099876392698, 0.008475496787504255, -0.0016824992027784091]","[11.464909006840282, 16.451342771744446, 6.04591113568889]",[ 0.65879002 -0.59734132  1.        ],"[11.464909006840282, 16.451342771744446, 6.04591113568889]",83.45887696268866
14450,"[0.002697632048610288, -0.007457798773611302, -0.0010782411902772182]","[11.450851906963889, 16.442867274956942, 6.047593634891668]",[ 0.67892638 -0.62423219  1.        ],"[11.450851906963889, 16.442867274956942, 6.047593634891668]",60.21438742961518
14460,"[0.0008785060805553968, -0.022362926723616283, -0.01857136548749949]","[11.448154274915279, 16.450325073730554, 6.048671876081945]",[-0.6838632   0.61800885 -1.        ],"[11.448154274915279, 16.450325073730554, 6.048671876081945]",83.9769494134988
14470,"[-0.0025255310416660848, -0.013220856619437171, 0.0049300308541671]","[11.447275768834723, 16.47268800045417, 6.067243241569445]",[ 0.66543286 -0.60464888  1.        ],"[11.447275768834723, 16.47268800045417, 6.067243241569445]",54.318850489360585
14480,"[0.002925137351395435, -0.009088725783342966, 0.02792388497083209]","[11.44980129987639, 16.485908857073607, 6.062313210715278]",[ 0.65277405 -0.59492768  1.        ],"[11.44980129987639, 16.485908857073607, 6.062313210715278]",26.487090971230362
14490,"[-0.009174437875008934, 0.0034703201514005855, 0.011171972334722113]","[11.446876162524994, 16.49499758285695, 6.034389325744446]",[ 0.64809943 -0.60065917  1.        ],"[11.446876162524994, 16.49499758285695, 6.034389325744446]",80.88901976310324
14500,"[0.004400616648615241, -0.013470889270841724, -0.025250285280554507]","[11.456050600400003, 16.49152726270555, 6.0232173534097235]",[-0.66123334  0.62050844 -1.        ],"[11.456050600400003, 16.49152726270555, 6.0232173534097235]",69.04064408093247
14510,"[-1.9527086115189718e-05, -0.004458191341655038, -0.01014558756944517]","[11.451649983751388, 16.50499815197639, 6.048467638690278]",[-0.62262671  0.59478956 -1.        ],"[11.451649983751388, 16.50499815197639, 6.048467638690278]",59.11832206152305
14520,"[0.011900467388896274, -0.003987503102781176, 0.01644448169166779]","[11.451669510837503, 16.509456343318046, 6.058613226259723]",[ 0.60880793 -0.58324412  1.        ],"[11.451669510837503, 16.509456343318046, 6.058613226259723]",15.95769930788485
14530,"[0.0068702655583408045, -0.02052182435832961, -0.005787415856941536]","[11.439769043448607, 16.513443846420827, 6.042168744568055]",[ 0.61032933 -0.58099636  1.        ],"[11.439769043448607, 16.513443846420827, 6.042168744568055]",69.35456867831186
14540,"[-0.0027729467736126168, 0.002197151126388519, 0.01840900597499484]","[11.446639309006947, 16.492922022062498, 6.036381328711114]",[ 0.63905687 -0.59911998  1.        ],"[11.446639309006947, 16.492922022062498, 6.036381328711114]",52.065131817598605
14550,"[0.004203403554161156, 0.011748176002782884, 0.02252208850972437]","[11.443866362233335, 16.495119173188886, 6.054790334686109]",[ 0.60973121 -0.5820202   1.        ],"[11.443866362233335, 16.495119173188886, 6.054790334686109]",57.188447983848874
14560,"[0.0025663037152785506, 0.017717181204165655, -0.003280003475000015]","[11.448069765787496, 16.50686734919167, 6.077312423195833]",[-0.60131349  0.57630475 -1.        ],"[11.448069765787496, 16.50686734919167, 6.077312423195833]",59.70814372876353
14570,"[-0.0035461742263827034, -0.012542768320837894, -0.002838898016666036]","[11.450636069502774, 16.524584530395835, 6.074032419720833]",[ 0.60566791 -0.58487142  1.        ],"[11.450636069502774, 16.524584530395835, 6.074032419720833]",82.25804719836725
14580,"[0.0033780189180543374, -0.0002961894472193194, 0.004483228723610289]","[11.447089895276392, 16.512041762074997, 6.071193521704167]",[ 0.63167476 -0.6033119   1.        ],"[11.447089895276392, 16.512041762074997, 6.071193521704167]",24.425446882335844
14590,"[0.0018868071472191161, 0.004983877079169474, 0.005598664088889649]","[11.450467914194446, 16.511745572627778, 6.075676750427777]",[ 0.65649053 -0.61296601  1.        ],"[11.450467914194446, 16.511745572627778, 6.075676750427777]",68.65016918067582
14600,"[0.004605049029169805, 0.008827042734715462, -0.009372596801389577]","[11.452354721341665, 16.516729449706947, 6.081275414516667]",[-0.66485763  0.60913826 -1.        ],"[11.452354721341665, 16.516729449706947, 6.081275414516667]",50.594664850067005
14610,"[0.008039299998607419, -0.0024550496541593247, -0.008548170245833653]","[11.456959770370835, 16.525556492441662, 6.071902817715277]",[-0.6567257   0.59868186 -1.        ],"[11.456959770370835, 16.525556492441662, 6.071902817715277]",83.56056421846826
14620,"[0.0066545335027807795, 0.022154786849998942, 0.008605541483332146]","[11.464999070369442, 16.523101442787503, 6.063354647469444]",[-0.66235206  0.61247134 -1.        ],"[11.464999070369442, 16.523101442787503, 6.063354647469444]",89.04161825840995
14630,"[0.005664876745830938, 0.014892468976391626, 0.015509867283335588]","[11.471653603872223, 16.545256229637502, 6.071960188952776]",[ 0.65683154 -0.6122358   1.        ],"[11.471653603872223, 16.545256229637502, 6.071960188952776]",70.22022200809957
14640,"[0.0069037496541675125, 0.011382725699995433, 0.013847047958335246]","[11.477318480618054, 16.560148698613894, 6.0874700562361115]",[ 0.67669122 -0.63057157  1.        ],"[11.477318480618054, 16.560148698613894, 6.0874700562361115]",64.3140360131366
14650,"[0.007839613084726693, -0.010090732277785008, 0.007689384708332803]","[11.484222230272222, 16.57153142431389, 6.101317104194447]",[ 0.66025211 -0.6167401   1.        ],"[11.484222230272222, 16.57153142431389, 6.101317104194447]",18.24043207084693
14660,"[0.000614427690271313, -0.00563583886248864, -0.007773935084723682]","[11.492061843356948, 16.561440692036104, 6.1090064889027795]",[-0.66469337  0.60423354 -1.        ],"[11.492061843356948, 16.561440692036104, 6.1090064889027795]",72.16987395848952
14670,"[0.011505219281945145, -0.005966533005551611, 0.001024476365275362]","[11.49267627104722, 16.555804853173615, 6.101232553818056]",[ 0.66991949 -0.5973958   1.        ],"[11.49267627104722, 16.555804853173615, 6.101232553818056]",45.26181279765293
14680,"[0.00400002471526939, -0.009989433174997231, -0.0068825254124931234]","[11.481171051765275, 16.561771386179167, 6.1002080774527805]",[ 0.700645   -0.61721039  1.        ],"[11.481171051765275, 16.561771386179167, 6.1002080774527805]",83.14573137116128
14690,"[0.00807154137222632, -0.007305598368052557, 0.00021291027221526093]","[11.477171027050005, 16.571760819354164, 6.107090602865274]",[ 0.70226696 -0.62576492  1.        ],"[11.477171027050005, 16.571760819354164, 6.107090602865274]",45.63398164829876
14700,"[-0.009090442873612048, -0.013569056183332151, 0.01006704499166755]","[11.469099485677779, 16.579066417722217, 6.106877692593058]",[ 0.73257381 -0.63977603  1.        ],"[11.469099485677779, 16.579066417722217, 6.106877692593058]",63.1485223659593
14710,"[0.0006958890277815044, -0.006894203020834766, 0.002901069222222219]","[11.47818992855139, 16.59263547390555, 6.096810647601391]",[ 0.73699451 -0.63671132  1.        ],"[11.47818992855139, 16.59263547390555, 6.096810647601391]",41.91124199836593
14720,"[0.01084783332360928, -0.006651153372231988, -0.007099497524999165]","[11.47749403952361, 16.599529676926384, 6.093909578379169]",[ 0.75059867 -0.6447725   1.        ],"[11.47749403952361, 16.599529676926384, 6.093909578379169]",74.92512949427953
14730,"[-0.0014022407069411713, 0.003816656373619054, -0.010020665159722775]","[11.4666462062, 16.606180830298616, 6.101009075904168]",[-0.73345346  0.64319279 -1.        ],"[11.4666462062, 16.606180830298616, 6.101009075904168]",26.63836289311569
14740,"[0.0034432692069401583, -0.015402076477784021, -0.00013567331944486227]","[11.468048446906941, 16.602364173924997, 6.1110297410638905]",[ 0.76432091 -0.65874672  1.        ],"[11.468048446906941, 16.602364173924997, 6.1110297410638905]",55.677790952418306
14750,"[0.0023753409847273588, -0.0043349630708249265, -0.0018738880833284455]","[11.464605177700001, 16.61776625040278, 6.111165414383335]",[ 0.75064604 -0.64355497  1.        ],"[11.464605177700001, 16.61776625040278, 6.111165414383335]",68.7125230408568
14760,"[0.016063995699994393, -0.002861943609733686, -0.0007897399694449803]","[11.462229836715274, 16.622101213473606, 6.113039302466664]",[ 0.75804065 -0.64294387  1.        ],"[11.462229836715274, 16.622101213473606, 6.113039302466664]",54.95092244652441
14770,"[0.0003304623527782269, 0.002047847711111217, -0.012742788015279949]","[11.44616584101528, 16.62496315708334, 6.113829042436109]",[-0.77347108  0.66560356 -1.        ],"[11.44616584101528, 16.62496315708334, 6.113829042436109]",41.33466754213916
14780,"[-0.0003666328124971585, -0.011145048238880406, -0.007251637312498893]","[11.445835378662501, 16.622915309372228, 6.126571830451389]",[-0.78449884  0.66701186 -1.        ],"[11.445835378662501, 16.622915309372228, 6.126571830451389]",89.68376262191772
14790,"[0.006152918751389791, -0.0033365341847222396, -0.014434354363888957]","[11.446202011474998, 16.63406035761111, 6.133823467763888]",[-0.78035008  0.66437143 -1.        ],"[11.446202011474998, 16.63406035761111, 6.133823467763888]",71.16396559106948
14800,"[0.015531284174997495, 0.0031576297638871154, 0.0028496457027742395]","[11.440049092723608, 16.63739689179583, 6.148257822127777]",[ 0.7504707 -0.6394425  1.       ],"[11.440049092723608, 16.63739689179583, 6.148257822127777]",56.485217326677024
14810,"[-0.007155563154164213, -0.007448427555551973, -0.002154254979162218]","[11.424517808548611, 16.634239262031944, 6.145408176425002]",[-0.72227551  0.6291004  -1.        ],"[11.424517808548611, 16.634239262031944, 6.145408176425002]",79.60264574712016
14820,"[-0.013480465763889171, -0.02235352842638605, 0.005591898997220568]","[11.431673371702775, 16.641687689587496, 6.147562431404165]",[ 0.70078024 -0.61500363  1.        ],"[11.431673371702775, 16.641687689587496, 6.147562431404165]",74.27428279909148
14830,"[-0.0034051258791674144, -0.01249780179583837, 0.006495730461108629]","[11.445153837466664, 16.66404121801388, 6.141970532406944]",[ 0.69303239 -0.62000091  1.        ],"[11.445153837466664, 16.66404121801388, 6.141970532406944]",53.08724537869821
14840,"[0.029030766158335553, 0.02460536623471654, 0.013672635490277862]","[11.448558963345832, 16.67653901980972, 6.135474801945835]",[ 0.69923108 -0.63040459  1.        ],"[11.448558963345832, 16.67653901980972, 6.135474801945835]",70.58574002965592
14850,"[0.022397975604164344, 0.01272224070277872, 0.004083194550001501]","[11.419528197187496, 16.651933653575004, 6.1218021664555575]",[ 0.70160174 -0.63733096  1.        ],"[11.419528197187496, 16.651933653575004, 6.1218021664555575]",71.01661762596416
14860,"[0.006346064431943077, -0.0022313987013866665, -0.0034231138972229402]","[11.397130221583332, 16.639211412872225, 6.117718971905556]",[ 0.6749496  -0.60806587  1.        ],"[11.397130221583332, 16.639211412872225, 6.117718971905556]",77.44311493750371
14870,"[-0.012891172333331369, -0.026307846497221732, -0.009445998415277934]","[11.390784157151389, 16.64144281157361, 6.121142085802779]",[-0.66206058  0.58584535 -1.        ],"[11.390784157151389, 16.64144281157361, 6.121142085802779]",86.41590483026644
14880,"[0.026914252516666792, 0.002806107499999655, 0.005291586452781161]","[11.40367532948472, 16.667750658070833, 6.130588084218057]",[ 0.67427701 -0.58990513  1.        ],"[11.40367532948472, 16.667750658070833, 6.130588084218057]",53.953554550111875
14890,"[0.022028612608332665, 0.02090027856111476, 0.004727326459720516]","[11.376761076968053, 16.664944550570834, 6.125296497765276]",[ 0.66689378 -0.5961612   1.        ],"[11.376761076968053, 16.664944550570834, 6.125296497765276]",80.2846368264227
14900,"[0.020039016174997926, 0.014365597743058345, 0.0031793880111097295]","[11.35473246435972, 16.64404427200972, 6.120569171305555]",[ 0.6572441  -0.59346014  1.        ],"[11.35473246435972, 16.64404427200972, 6.120569171305555]",76.37123600007972
14910,"[-0.009044399423611793, -0.011656665166668745, 0.008560457355557993]","[11.334693448184723, 16.62967867426666, 6.1173897832944455]",[ 0.6239068  -0.56293911  1.        ],"[11.334693448184723, 16.62967867426666, 6.1173897832944455]",64.81997784666693
14920,"[0.0039051780444445683, -0.01386571524306035, 0.015856914852777848]","[11.343737847608335, 16.64133533943333, 6.1088293259388875]",[ 0.64511375 -0.56295348  1.        ],"[11.343737847608335, 16.64133533943333, 6.1088293259388875]",21.82189314078792
14930,"[0.018239625812501714, 0.010120027495837292, 0.015593035038886427]","[11.33983266956389, 16.65520105467639, 6.09297241108611]",[ 0.66142201 -0.5837244   1.        ],"[11.33983266956389, 16.65520105467639, 6.09297241108611]",51.22349094018589
14940,"[0.017022144240275594, 0.012903076627772236, 0.010107685038890146]","[11.321593043751388, 16.645081027180552, 6.077379376047223]",[ 0.68550492 -0.59987614  1.        ],"[11.321593043751388, 16.645081027180552, 6.077379376047223]",63.952739414245414
14950,"[-0.005303178755553972, -0.005017779691659285, 0.001972671312498342]","[11.304570899511113, 16.63217795055278, 6.067271691008333]",[ 0.63543634 -0.56193472  1.        ],"[11.304570899511113, 16.63217795055278, 6.067271691008333]",81.7529840287399
14960,"[0.0073291874472225516, -0.010695776462512185, 0.009610582834720383]","[11.309874078266667, 16.63719573024444, 6.065299019695835]",[ 0.63443033 -0.5432195   1.        ],"[11.309874078266667, 16.63719573024444, 6.065299019695835]",17.35824317188565
14970,"[0.0016121041555550164, 0.006304849995842687, 0.004861979022225071]","[11.302544890819444, 16.64789150670695, 6.055688436861114]",[ 0.60940782 -0.52704231  1.        ],"[11.302544890819444, 16.64789150670695, 6.055688436861114]",76.01263584410034
14980,"[-0.001664293688889984, 0.002906252351387195, 0.012717400965279957]","[11.30093278666389, 16.64158665671111, 6.050826457838889]",[ 0.67469409 -0.57137349  1.        ],"[11.30093278666389, 16.64158665671111, 6.050826457838889]",55.53433922901571
14990,"[-0.009209737186107958, 0.008902473236112485, 0.018551584056942794]","[11.302597080352779, 16.63868040435972, 6.038109056873609]",[ 0.6762149  -0.57014377  1.        ],"[11.302597080352779, 16.63868040435972, 6.038109056873609]",76.06481590139141
15000,"[-0.0038170958722218984, -0.005998948986107422, -0.002367083619446042]","[11.311806817538887, 16.62977793112361, 6.0195574728166665]",[-0.71651568  0.58732731 -1.        ],"[11.311806817538887, 16.62977793112361, 6.0195574728166665]",81.1100544330168
15010,"[-0.004369179083328234, -0.022164771995829113, 0.01021090560278104]","[11.307989721666665, 16.6237789821375, 6.0171903891972205]",[ 0.68522341 -0.57056602  1.        ],"[11.307989721666665, 16.6237789821375, 6.0171903891972205]",53.27256113440926
15020,"[-0.005125271555554534, -0.009699886158340831, -0.005990832336110863]","[11.303620542583337, 16.601614210141673, 6.0274012948000015]",[-0.69991033  0.57764493 -1.        ],"[11.303620542583337, 16.601614210141673, 6.0274012948000015]",76.37954780655947
15030,"[-0.0005681858777748516, -0.012988537191663596, 0.022916790790279862]","[11.298495271027782, 16.59191432398333, 6.021410462463891]",[ 0.656656   -0.54354292  1.        ],"[11.298495271027782, 16.59191432398333, 6.021410462463891]",31.23305473193206
15040,"[-0.015404691566665463, -0.018569314916668134, -0.006508427466667577]","[11.299063456905557, 16.604902861174995, 5.998493671673611]",[-0.6733507   0.54306629 -1.        ],"[11.299063456905557, 16.604902861174995, 5.998493671673611]",78.12951724380704
15050,"[-0.0019503092222254992, 0.004129440469444745, 0.009454133279166221]","[11.314468148472223, 16.623472176091663, 6.005002099140278]",[ 0.63168034 -0.52035643  1.        ],"[11.314468148472223, 16.623472176091663, 6.005002099140278]",63.407128315342916
15060,"[0.0007268182805635348, -0.01326716582360632, 0.0055008300569454605]","[11.312517839249997, 16.62760161656111, 6.014456232419445]",[ 0.6376788  -0.53057713  1.        ],"[11.312517839249997, 16.62760161656111, 6.014456232419445]",45.89720809441838
15070,"[-0.0031311932208399895, -0.008812374605550843, -0.007109565075001711]","[11.31324465753056, 16.614334450737502, 6.01995706247639]",[-0.63915916  0.53721435 -1.        ],"[11.31324465753056, 16.614334450737502, 6.01995706247639]",73.38224786447269
15080,"[0.00725205494861747, 0.0030780193138788547, -0.008716939504166632]","[11.31011346430972, 16.60552207613195, 6.012847497401388]",[-0.69899261  0.57447472 -1.        ],"[11.31011346430972, 16.60552207613195, 6.012847497401388]",70.01246032437159
15090,"[-0.002007418170842712, -0.0014500818458387243, 0.0011651868111108854]","[11.317365519258338, 16.60860009544583, 6.004130557897222]",[ 0.67984195 -0.57062819  1.        ],"[11.317365519258338, 16.60860009544583, 6.004130557897222]",80.11957776753744
15100,"[-0.005541535098604555, -0.0019826577652750643, -0.012029561013886081]","[11.315358101087496, 16.60715001359999, 6.005295744708333]",[-0.66718262  0.57422048 -1.        ],"[11.315358101087496, 16.60715001359999, 6.005295744708333]",35.14896584082595
15110,"[0.00598841101528258, -0.00015553629583564543, 0.016391789254169176]","[11.309816565988891, 16.605167355834716, 5.9932661836944465]",[ 0.64343263 -0.56942248  1.        ],"[11.309816565988891, 16.605167355834716, 5.9932661836944465]",27.907162149086826
15120,"[0.0068191764527796295, -0.002779280122211958, -0.01143488898611178]","[11.303828154973608, 16.605322892130552, 5.976874394440277]",[-0.70168889  0.6049531  -1.        ],"[11.303828154973608, 16.605322892130552, 5.976874394440277]",74.45568593236649
15130,"[0.015020448787502971, 0.009171825074989925, 0.0066180541888885]","[11.310647331426388, 16.60254361200834, 5.965439505454166]",[ 0.72813839 -0.64155907  1.        ],"[11.310647331426388, 16.60254361200834, 5.965439505454166]",63.54896164330883
15140,"[0.0072426434638899195, 0.002113659575005755, -0.009660972319442962]","[11.325667780213891, 16.61171543708333, 5.972057559643054]",[-0.72798252  0.66032828 -1.        ],"[11.325667780213891, 16.61171543708333, 5.972057559643054]",70.33404959646947
15150,"[-0.001427019041667421, -0.009790847344447684, -0.011201134713888727]","[11.332910423677781, 16.613829096658336, 5.962396587323611]",[-0.69284638  0.65099636 -1.        ],"[11.332910423677781, 16.613829096658336, 5.962396587323611]",73.61813057161557
15160,"[-0.011217347905551733, -0.007188363855554769, 0.008638462777776468]","[11.331483404636113, 16.604038249313888, 5.951195452609722]",[ 0.69937262 -0.64955406  1.        ],"[11.331483404636113, 16.604038249313888, 5.951195452609722]",75.58991606013426
15170,"[-0.010843560031947419, 0.00268797217222172, -0.005618542965274642]","[11.320266056730562, 16.596849885458333, 5.959833915387499]",[-0.7033882   0.66777185 -1.        ],"[11.320266056730562, 16.596849885458333, 5.959833915387499]",30.300531786341203
15180,"[0.014479039376380953, 0.014007262284732036, -0.023327297988891438]","[11.309422496698614, 16.599537857630555, 5.954215372422224]",[-0.72329816  0.6982684  -1.        ],"[11.309422496698614, 16.599537857630555, 5.954215372422224]",58.80836142009888
15190,"[0.02466722376806274, 0.01998093448748861, -0.026036834670828846]","[11.323901536074995, 16.613545119915287, 5.930888074433333]",[-0.715319    0.71924459 -1.        ],"[11.323901536074995, 16.613545119915287, 5.930888074433333]",67.09319947700953
15200,"[0.010730239302771949, -0.01276110175971823, -0.00530772357222542]","[11.348568759843058, 16.633526054402775, 5.904851239762504]",[ 0.71316627 -0.73416039  1.        ],"[11.348568759843058, 16.633526054402775, 5.904851239762504]",62.10632753032789
15210,"[-0.016742412087495495, -0.01711494008333503, -0.004766700416667824]","[11.35929899914583, 16.620764952643057, 5.8995435161902785]",[-0.69698436  0.73931353 -1.        ],"[11.35929899914583, 16.620764952643057, 5.8995435161902785]",83.76029280093641
15220,"[0.0021706257541644902, -0.005681916799996856, -0.008347870224998388]","[11.342556587058334, 16.603650012559722, 5.894776815773611]",[-0.69561275  0.74735581 -1.        ],"[11.342556587058334, 16.603650012559722, 5.894776815773611]",79.88843929968195
15230,"[0.015781403700001917, 0.011872852259717348, 0.003863642629164943]","[11.344727212812499, 16.597968095759725, 5.886428945548612]",[ 0.69259846 -0.76860917  1.        ],"[11.344727212812499, 16.597968095759725, 5.886428945548612]",78.71105452569918
15240,"[0.02929045322499846, 0.024164863358340227, 0.011334025225002264]","[11.3605086165125, 16.609840948019443, 5.890292588177777]",[ 0.70561203 -0.78053914  1.        ],"[11.3605086165125, 16.609840948019443, 5.890292588177777]",76.79521233173551
15250,"[0.006451317487499608, 0.020770886841660285, -0.021196304670836774]","[11.3897990697375, 16.634005811377783, 5.9016266134027795]",[-0.69905644  0.78988426 -1.        ],"[11.3897990697375, 16.634005811377783, 5.9016266134027795]",41.43599230507369
15260,"[0.025653029934723293, -0.006619402877777958, -0.03848403017222246]","[11.396250387224999, 16.654776698219443, 5.880430308731943]",[-0.70661232  0.81340446 -1.        ],"[11.396250387224999, 16.654776698219443, 5.880430308731943]",77.4079763696473
15270,"[0.012530815902783488, -0.002706654412502729, -0.00874610528194264]","[11.421903417159722, 16.648157295341665, 5.84194627855972]",[ 0.70623371 -0.84438909  1.        ],"[11.421903417159722, 16.648157295341665, 5.84194627855972]",84.05856241188927
15280,"[0.016517946252772475, -0.009938239038891794, 0.01751248917083359]","[11.434434233062506, 16.645450640929162, 5.833200173277778]",[ 0.73967472 -0.88369028  1.        ],"[11.434434233062506, 16.645450640929162, 5.833200173277778]",14.2642637320975
15290,"[0.0009733179944468873, 0.006346468595847199, 0.019693966727776235]","[11.450952179315278, 16.63551240189027, 5.850712662448611]",[ 0.70595181 -0.85439274  1.        ],"[11.450952179315278, 16.63551240189027, 5.850712662448611]",61.06843876766939
15300,"[0.004152474191661426, 0.005983096158328038, -0.003158075481946021]","[11.451925497309725, 16.641858870486118, 5.8704066291763874]",[-0.70005092  0.83707226 -1.        ],"[11.451925497309725, 16.641858870486118, 5.8704066291763874]",63.408103086016055
15310,"[0.002106930843062571, 0.03337157028471438, -0.002339148048605466]","[11.456077971501387, 16.647841966644446, 5.867248553694441]",[-0.68569144  0.83407528 -1.        ],"[11.456077971501387, 16.647841966644446, 5.867248553694441]",54.38221162791167
15320,"[0.03205605255832822, 0.006202520948612289, 0.014906351627774761]","[11.458184902344449, 16.68121353692916, 5.864909405645836]",[ 0.71721857 -0.86826268  1.        ],"[11.458184902344449, 16.68121353692916, 5.864909405645836]",53.02664216076156
15330,"[0.009698560813889756, 0.0059470156472336555, 0.021045752206944712]","[11.490240954902777, 16.687416057877773, 5.879815757273611]",[ 0.69776705 -0.85995614  1.        ],"[11.490240954902777, 16.687416057877773, 5.879815757273611]",50.51513822943796
15340,"[0.0092704793986087, -0.011637772979174343, -0.006847936558332712]","[11.499939515716667, 16.693363073525006, 5.900861509480555]",[ 0.69633845 -0.86292434  1.        ],"[11.499939515716667, 16.693363073525006, 5.900861509480555]",66.76046450083572
15350,"[-0.009573507501389855, 0.02001272434583612, -0.02293320520694664]","[11.509209995115276, 16.681725300545832, 5.894013572922223]",[-0.70753699  0.87281851 -1.        ],"[11.509209995115276, 16.681725300545832, 5.894013572922223]",10.599994503425743
15360,"[0.004627411074999088, 0.01860727368193693, -0.004232085018054832]","[11.499636487613886, 16.701738024891668, 5.871080367715276]",[-0.71422064  0.87471794 -1.        ],"[11.499636487613886, 16.701738024891668, 5.871080367715276]",54.49069187908347
15370,"[-0.005774050609717918, 0.021024678150006082, 0.0326373534236124]","[11.504263898688885, 16.720345298573605, 5.866848282697221]",[ 0.71554587 -0.86093452  1.        ],"[11.504263898688885, 16.720345298573605, 5.866848282697221]",79.82812132821027
15380,"[0.003704349423605535, 0.004364909712499809, 0.008662173123612504]","[11.498489848079167, 16.74136997672361, 5.899485636120834]",[ 0.71609732 -0.86105142  1.        ],"[11.498489848079167, 16.74136997672361, 5.899485636120834]",61.00556992489554
15390,"[0.004144130080552699, -0.016718248736118824, 0.012029890270836674]","[11.502194197502773, 16.74573488643611, 5.908147809244446]",[ 0.7300283  -0.87573086  1.        ],"[11.502194197502773, 16.74573488643611, 5.908147809244446]",21.244744029988055
15400,"[-0.020240829469445387, 0.0028357127611222666, 0.011809492923608111]","[11.49805006742222, 16.76245313517223, 5.8961179189736095]",[-0.74698523  0.87146678 -1.        ],"[11.49805006742222, 16.76245313517223, 5.8961179189736095]",80.74164196784115
15410,"[0.0013696142527770405, -0.013855015394451442, -0.014564849459720364]","[11.518290896891665, 16.759617422411107, 5.884308426050001]",[-0.7842409   0.88506867 -1.        ],"[11.518290896891665, 16.759617422411107, 5.884308426050001]",87.74440012977347
15420,"[0.0007992733041675137, 0.004493549179169776, -0.015807696811112493]","[11.516921282638888, 16.77347243780556, 5.898873275509722]",[-0.79698647  0.89391361 -1.        ],"[11.516921282638888, 16.77347243780556, 5.898873275509722]",41.63044034737999
15430,"[0.022795855418049626, -0.023493084069439618, 0.006984174294445644]","[11.51612200933472, 16.76897888862639, 5.914680972320834]",[ 0.81672021 -0.90149241  1.        ],"[11.51612200933472, 16.76897888862639, 5.914680972320834]",27.43400949895299
15440,"[0.007348620961119323, -0.003939871911118331, 0.008290770293054806]","[11.493326153916671, 16.79247197269583, 5.907696798026389]",[ 0.82632083 -0.89526409  1.        ],"[11.493326153916671, 16.79247197269583, 5.907696798026389]",15.136762456257902
15450,"[0.011233136333329341, -0.022068110563878918, -0.008494030170834499]","[11.485977532955552, 16.796411844606947, 5.899406027733334]",[ 0.84801406 -0.89154904  1.        ],"[11.485977532955552, 16.796411844606947, 5.899406027733334]",60.07552729756935
15460,"[-0.017204619720828873, 0.0027604500597178117, 0.005175145440280637]","[11.474744396622222, 16.818479955170826, 5.907900057904168]",[-0.84868127  0.88549594 -1.        ],"[11.474744396622222, 16.818479955170826, 5.907900057904168]",65.62761295854119
15470,"[0.025650585749993127, -0.011213902922222019, 0.020853247547223397]","[11.491949016343051, 16.815719505111108, 5.902724912463888]",[ 0.87661815 -0.89780067  1.        ],"[11.491949016343051, 16.815719505111108, 5.902724912463888]",17.538928377815257
15480,"[0.018327006591670525, 0.0022485957194398054, 0.00925734305832826]","[11.466298430593058, 16.82693340803333, 5.881871664916664]",[ 0.86341707 -0.89401886  1.        ],"[11.466298430593058, 16.82693340803333, 5.881871664916664]",45.558030044351156
15490,"[0.021441639818053915, -0.02326713648195522, -0.007666348809720169]","[11.447971424001388, 16.82468481231389, 5.872614321858336]",[ 0.90584694 -0.90892263  1.        ],"[11.447971424001388, 16.82468481231389, 5.872614321858336]",51.59155559727457
15500,"[-0.0023596732833315315, -0.020918502693049845, -0.004245519222223493]","[11.426529784183334, 16.847951948795846, 5.880280670668056]",[ 0.91800796 -0.903083    1.        ],"[11.426529784183334, 16.847951948795846, 5.880280670668056]",69.119638360638
15510,"[0.0010060763638843895, -0.01627581343749185, 0.011685732023610562]","[11.428889457466665, 16.868870451488895, 5.88452618989028]",[ 0.96420432 -0.9167017   1.        ],"[11.428889457466665, 16.868870451488895, 5.88452618989028]",34.32167685252265
15520,"[-0.004043551430550352, -0.012908414883334274, 0.012144403561114459]","[11.427883381102781, 16.885146264926387, 5.872840457866669]",[ 0.9386084  -0.88978928  1.        ],"[11.427883381102781, 16.885146264926387, 5.872840457866669]",48.13270924040385
15530,"[0.012906819713885298, 0.0034349386500025503, 0.005737414588887546]","[11.431926932533331, 16.89805467980972, 5.860696054305555]",[ 0.9267427 -0.8580772  1.       ],"[11.431926932533331, 16.89805467980972, 5.860696054305555]",50.95466162111168
15540,"[-0.0017857073138891622, -0.004580317262490752, -0.013387738084720269]","[11.419020112819446, 16.89461974115972, 5.854958639716667]",[-0.89310006  0.8227878  -1.        ],"[11.419020112819446, 16.89461974115972, 5.854958639716667]",60.01070564913962
15550,"[0.021067817686109436, 0.0008274815972093563, -0.0007078312472224013]","[11.420805820133335, 16.89920005842221, 5.868346377801387]",[ 0.916675   -0.82082504  1.        ],"[11.420805820133335, 16.89920005842221, 5.868346377801387]",57.59528852439301
