frame_no,translation,net_relative_translation
1250,-2.5313866174847857e-12,-6.219573659843035e-11
1260,-1.8130251265877257e-12,-6.400876172501808e-11
1270,-1.3331121229801972e-12,-6.534187384799827e-11
1280,-9.572445166332782e-13,-6.629911836463155e-11
1290,-1.595370663912807e-12,-6.789448902854436e-11
1300,-1.147237163445275e-12,-6.904172619198963e-11
1310,3.5247237793836517e-13,-6.868925381405127e-11
1320,-1.0086231341839888e-12,-6.969787694823526e-11
1330,-2.7926862446776e-13,-6.997714557270302e-11
1340,1.5286820428135224e-12,-6.84484635298895e-11
1350,1.6213495366716506e-12,-6.682711399321785e-11
1360,2.2954017896310284e-12,-6.453171220358682e-11
1370,1.498586034448154e-12,-6.303312616913867e-11
1380,-1.2643702251947963e-12,-6.429749639433347e-11
1390,-1.6373441162802054e-12,-6.593484051061367e-11
1400,-1.8029890097722597e-12,-6.773782952038593e-11
1410,2.2526665740655803e-12,-6.548516294632035e-11
1420,-1.966446128287074e-12,-6.745160907460743e-11
1430,-1.6209555229549963e-12,-6.907256459756243e-11
1440,-2.1196551606917576e-12,-7.119221975825418e-11
1450,-1.3618596997409453e-12,-7.255407945799513e-11
1460,-6.51238396265262e-13,-7.320531785426039e-11
1470,-1.3836109204886023e-12,-7.458892877474899e-11
1480,-1.2012139227458251e-12,-7.579014269749482e-11
1490,-8.645180711303023e-13,-7.665466076862512e-11
1500,6.565520711744085e-14,-7.658900556150768e-11
1510,-1.6559757186132934e-12,-7.824498128012097e-11
1520,-1.5428279757000301e-12,-7.9787809255821e-11
1530,-1.1008456253698047e-12,-8.08886548811908e-11
1540,-1.3183928436967425e-13,-8.102049416556048e-11
1550,-2.448634383726229e-13,-8.12653576039331e-11
1560,-8.035249318827794e-13,-8.206888253581588e-11
1570,6.55373185087169e-13,-8.141350935072871e-11
1580,-6.085704427688761e-14,-8.14743663950056e-11
1590,-9.984138316919978e-13,-8.24727802266976e-11
1600,-1.1755427548641235e-12,-8.364832298156173e-11
1610,-5.222132498674993e-13,-8.417053623142923e-11
1620,-3.279764489085832e-13,-8.449851268033782e-11
1630,-1.2731054843641963e-12,-8.577161816470201e-11
1640,-1.0038082562551262e-12,-8.677542642095713e-11
1650,-2.0873551976180952e-12,-8.886278161857523e-11
1660,-7.910781181130284e-13,-8.965385973668825e-11
1670,5.444839210240617e-14,-8.959941134458585e-11
1680,-1.093156083216116e-12,-9.069256742780197e-11
1690,1.7588835996919323e-12,-8.893368382811004e-11
1700,-1.712697048737976e-12,-9.064638087684801e-11
1710,7.982060292512856e-14,-9.056656027392288e-11
1720,-8.944430342631461e-13,-9.146100330818603e-11
1730,1.2392576026567925e-13,-9.133707754792036e-11
1740,-8.3004946537226e-13,-9.216712701329262e-11
1750,-2.926581319692054e-13,-9.245978514526183e-11
1760,2.8355706964313906e-13,-9.217622807561869e-11
1770,3.519843795776538e-14,-9.214102963766092e-11
1780,-6.280631888994817e-13,-9.27690928265604e-11
1790,-4.2636762771368896e-13,-9.319546045427409e-11
1800,-6.017505620326102e-13,-9.37972110163067e-11
1810,7.084696979918801e-13,-9.308874131831482e-11
1820,8.556838308454973e-13,-9.223305748746932e-11
1830,1.5129256125854504e-12,-9.072013187488388e-11
1840,7.762113271024398e-13,-8.994392054778144e-11
1850,-4.641390648300389e-13,-9.040805961261149e-11
1860,1.3518247781153923e-12,-8.905623483449609e-11
1870,1.2901876214534882e-12,-8.77660472130426e-11
1880,1.019782673291017e-12,-8.674626453975158e-11
1890,-1.454091754804233e-12,-8.820035629455581e-11
1900,1.184892404009468e-13,-8.808186705415486e-11
1910,3.592153904467918e-13,-8.772265166370807e-11
1920,1.6520513049689282e-12,-8.607060035873914e-11
1930,1.5466968472779702e-12,-8.452390351146116e-11
1940,1.4766999359866399e-12,-8.304720357547452e-11
1950,1.5635798994151165e-13,-8.2890845585533e-11
1960,1.94185624756056e-12,-8.094898933797245e-11
1970,-2.340592089652368e-13,-8.118304854693769e-11
1980,2.1862437204570493e-12,-7.899680482648064e-11
1990,1.8721483762505066e-12,-7.712465645023013e-11
2000,2.169402320276758e-12,-7.495525412995338e-11
2010,1.546384276430715e-12,-7.340886985352267e-11
2020,1.3847839581027129e-12,-7.202408589541995e-11
2030,1.4834296074778091e-12,-7.054065628794214e-11
2040,4.1520497389503416e-13,-7.01254513140471e-11
2050,-5.0799081219474007e-14,-7.017625039526658e-11
2060,9.365273584030741e-13,-6.923972303686351e-11
2070,9.178194010166121e-13,-6.83219036358469e-11
2080,6.198356473874487e-13,-6.770206798845945e-11
2090,3.2256463750843936e-14,-6.76698115247086e-11
2100,-6.511116507049366e-13,-6.832092317541354e-11
2110,-3.303143842251688e-13,-6.86512375596387e-11
2120,-4.150597301775947e-13,-6.906629728981629e-11
2130,-1.0211328746469592e-12,-7.008743016446324e-11
2140,-6.909338246904786e-13,-7.077836398915372e-11
2150,8.188477396680295e-13,-6.995951624948569e-11
2160,-5.914722356928856e-13,-7.055098848517857e-11
2170,-2.855708038775873e-13,-7.083655928905615e-11
2180,-1.7565970166259414e-13,-7.101221899071875e-11
2190,5.826836972791591e-13,-7.042953529343959e-11
2200,-1.284236888137218e-12,-7.17137721815768e-11
2210,-1.2989537030977604e-12,-7.301272588467457e-11
2220,-1.0773471459688821e-12,-7.409007303064345e-11
2230,7.131081968885508e-13,-7.337696483375489e-11
2240,-1.1192566627512463e-12,-7.449622149650614e-11
2250,-1.2149871517301135e-12,-7.571120864823626e-11
2260,-1.3168579294675931e-12,-7.702806657770386e-11
2270,-9.721152437188387e-14,-7.712527810207574e-11
2280,-1.2000179552290713e-12,-7.832529605730481e-11
2290,-2.513931525665292e-13,-7.857668920987134e-11
2300,-1.005883118281722e-12,-7.958257232815307e-11
2310,-7.815440800475814e-13,-8.036411640820065e-11
2320,-7.187582633314183e-13,-8.108287467153206e-11
2330,7.395359380625468e-13,-8.034333873346952e-11
2340,-1.2940733677925698e-12,-8.163741210126209e-11
2350,-4.729038397210512e-13,-8.211031594098313e-11
2360,-1.7521652191333513e-13,-8.228553246289647e-11
2370,-2.6991740781634287e-13,-8.255544987071281e-11
2380,-1.3982926445718138e-12,-8.395374251528463e-11
2390,-1.6020239931790543e-12,-8.55557665084637e-11
2400,-4.013996621637945e-13,-8.59571661706275e-11
2410,1.055412442155912e-12,-8.490175372847158e-11
2420,1.1659933425265363e-12,-8.373576038594505e-11
2430,-4.257830292684131e-15,-8.374001821623773e-11
2440,3.465104542419468e-13,-8.339350776199578e-11
2450,2.5308805317686402e-14,-8.336819895667809e-11
2460,2.5589672016067785e-13,-8.311230223651742e-11
2470,4.368173146373313e-13,-8.267548492188008e-11
2480,9.776425896684836e-13,-8.16978423322116e-11
2490,8.554009429929307e-13,-8.084244138921867e-11
2500,1.5662473138133565e-13,-8.068581665783732e-11
2510,-5.760452357304399e-14,-8.074342118141036e-11
2520,1.1983909496688376e-13,-8.062358208644348e-11
2530,9.057387566482708e-13,-7.97178433297952e-11
2540,9.283781244738437e-13,-7.878946520532136e-11
2550,1.245378252538573e-12,-7.75440869527828e-11
2560,-5.298460346208766e-13,-7.807393298740368e-11
2570,1.4289690200449585e-12,-7.664496396735872e-11
2580,8.867628705508183e-13,-7.57582010968079e-11
2590,8.568885140888051e-13,-7.49013125827191e-11
2600,1.147572377331425e-12,-7.375374020538767e-11
2610,1.6605675773438113e-12,-7.209317262804386e-11
2620,1.488629613808821e-12,-7.060454301423504e-11
2630,1.6488754982269674e-12,-6.895566751600807e-11
2640,1.2401991230605468e-12,-6.771546839294753e-11
2650,1.6162868812207768e-12,-6.609918151172675e-11
2660,2.175931583695209e-12,-6.392324992803154e-11
2670,2.5804722374401933e-12,-6.134277769059134e-11
2680,1.9237480256155317e-12,-5.941902966497581e-11
2690,1.7803598261523559e-12,-5.763866983882345e-11
2700,1.878488188902953e-12,-5.5760181649920497e-11
2710,1.4559008030505907e-12,-5.4304280846869907e-11
2720,2.820198808759938e-13,-5.402226096599391e-11
2730,-8.13681667391817e-13,-5.4835942633385725e-11
2740,-1.4028246364540401e-12,-5.623876726983977e-11
2750,3.4170137539875425e-13,-5.5897065894441015e-11
2760,2.0221043529699824e-12,-5.387496154147103e-11
2770,2.2042453349428286e-12,-5.16707162065282e-11
2780,8.284341405352139e-13,-5.084228206599299e-11
2790,-1.433568502407991e-13,-5.0985638916233784e-11
2800,-5.810202640062778e-13,-5.1566659180240064e-11
2810,7.945873714551113e-13,-5.077207180878495e-11
2820,2.065244503536445e-12,-4.8706827305248506e-11
2830,3.1022391017778145e-12,-4.560458820347069e-11
2840,2.960039406800447e-12,-4.2644548796670246e-11
2850,1.0743538254013651e-13,-4.253711341413011e-11
2860,-4.98274470499978e-13,-4.303538788463009e-11
2870,2.347513623154267e-12,-4.068787426147582e-11
2880,2.905952693506997e-12,-3.778192156796882e-11
2890,-1.6455918789096352e-12,-3.942751344687846e-11
2900,-2.5448500676593343e-12,-4.197236351453779e-11
2910,-1.8534766046084303e-12,-4.3825840119146224e-11
2920,-1.1663834793882425e-12,-4.4992223598534464e-11
2930,-1.1690604955673503e-12,-4.6161284094101815e-11
2940,-4.2895649655389117e-13,-4.6590240590655703e-11
2950,-1.3475388688991365e-12,-4.793777945955484e-11
2960,-1.0008416151223642e-12,-4.8938621074677206e-11
2970,-1.3144359337584255e-12,-5.0253057008435635e-11
2980,-1.2339517819648295e-12,-5.1487008790400466e-11
2990,-4.811037247084082e-13,-5.1968112515108876e-11
3000,4.442611742065652e-13,-5.152385134090231e-11
3010,1.2669661340399693e-12,-5.025688520686234e-11
3020,-4.3210347642489487e-13,-5.068898868328723e-11
3030,-1.7159476267290615e-12,-5.2404936310016295e-11
3040,-1.873507143377693e-12,-5.427844345339399e-11
3050,-1.5366111891932393e-12,-5.581505464258723e-11
3060,-1.443171431145894e-12,-5.7258226073733123e-11
3070,-1.4785131230858186e-12,-5.873673919681895e-11
3080,-1.829853886706479e-12,-6.056659308352542e-11
3090,2.0739796030814168e-12,-5.849261348044401e-11
3100,1.772930703857914e-12,-5.67196827765861e-11
3110,-9.908765307245038e-13,-5.7710559307310606e-11
3120,-1.7470170790295848e-12,-5.945757638634019e-11
3130,-1.759424324891634e-12,-6.121700071123182e-11
3140,-1.925664244276612e-12,-6.314266495550843e-11
3150,-6.51778849620717e-13,-6.379444380512915e-11
3160,-1.0493833006925556e-12,-6.48438271058217e-11
3170,-1.651460232114088e-12,-6.649528733793579e-11
3180,-1.2554239593631671e-12,-6.775071129729895e-11
3190,-1.2642412731004736e-12,-6.901495257039942e-11
3200,-7.873815263045402e-13,-6.980233409670396e-11
3210,-3.4625992026048823e-13,-7.014859401696445e-11
3220,3.463075126388493e-13,-6.98022865043256e-11
3230,-1.3785065410908054e-13,-6.994013715843469e-11
3240,8.108662077950003e-14,-6.985905053765518e-11
3250,-1.230566823928079e-12,-7.108961736158327e-11
3260,-2.5269184836570213e-12,-7.361653584524029e-11
3270,-2.810244932068645e-12,-7.642678077730893e-11
3280,-2.1266936759915107e-12,-7.855347445330043e-11
3290,-2.4121136867120095e-12,-8.096558814001245e-11
3300,-1.25560177464847e-12,-8.222118991466092e-11
3310,-3.1621353624950452e-12,-8.538332527715596e-11
3320,-1.1519450712067237e-12,-8.653527034836268e-11
3330,-2.1996339828046905e-12,-8.873490433116737e-11
3340,-3.8167613379630365e-12,-9.25516656691304e-11
3350,-3.7923023300557554e-12,-9.634396799918616e-11
3360,-3.378907641862493e-12,-9.972287564104866e-11
3370,-4.162256266402971e-12,-1.0388513190745163e-10
3380,-4.386741128253916e-12,-1.0827187303570554e-10
3390,-4.59600198606856e-12,-1.128678750217741e-10
3400,-4.270498104625032e-12,-1.1713837312639912e-10
3410,-1.4759769175619931e-12,-1.1861435004396112e-10
3420,-2.813461314090393e-12,-1.214278113580515e-10
3430,-3.6347839167734738e-12,-1.2506259527482498e-10
3440,-2.6316176442366832e-12,-1.2769421291906167e-10
3450,-2.444252467354776e-12,-1.3013846538641643e-10
3460,-2.5666112590399504e-12,-1.3270507664545637e-10
3470,-3.1214750235540767e-12,-1.3582655166901046e-10
3480,-2.6719841260275474e-12,-1.38498535795038e-10
3490,-2.8953756393917552e-12,-1.4139391143442976e-10
3500,-3.2419092516739597e-12,-1.4463582068610371e-10
3510,-3.0815281812675926e-12,-1.477173488673713e-10
3520,-8.25104019882459e-13,-1.4854245288725376e-10
3530,-2.1638161436212417e-12,-1.50706269030875e-10
3540,-1.99882822627386e-12,-1.5270509725714886e-10
3550,-3.5729969602922078e-12,-1.5627809421744107e-10
3560,-2.7981393759441985e-12,-1.5907623359338527e-10
3570,-2.930567393431928e-12,-1.620068009868172e-10
3580,-3.0865652806373824e-12,-1.6509336626745457e-10
3590,-3.553404096277672e-12,-1.6864677036373224e-10
3600,-3.1708489762818506e-12,-1.718176193400141e-10
3610,-3.086282370452948e-12,-1.7490390171046704e-10
3620,-1.465395183453607e-12,-1.7636929689392063e-10
3630,-2.819931261624757e-12,-1.791892281555454e-10
3640,-1.3096812108677707e-12,-1.8049890936641315e-10
3650,1.1377950515875363e-12,-1.793611143148256e-10
3660,-1.7515330665764806e-12,-1.811126473814021e-10
3670,-3.3147687138506766e-12,-1.8442741609525275e-10
3680,-1.1476416974592161e-12,-1.8557505779271197e-10
3690,-3.5297606604054075e-13,-1.8592803385875251e-10
3700,-4.919517477610087e-13,-1.864199856065135e-10
3710,-1.8059691190021208e-12,-1.8822595472551563e-10
3720,-1.150035041387009e-12,-1.8937598976690264e-10
3730,-1.8748588349146467e-12,-1.9125084860181728e-10
3740,-4.4983151912602314e-13,-1.917006801209433e-10
3750,-2.232002042050963e-12,-1.9393268216299427e-10
3760,-1.323359703613801e-12,-1.9525604186660806e-10
3770,-4.582432574683215e-13,-1.957142851240764e-10
3780,1.4487748162234805e-12,-1.9426551030785292e-10
3790,-1.907465671271636e-12,-1.9617297597912456e-10
3800,-8.324839829927805e-13,-1.9700545996211734e-10
3810,1.1164900690701711e-13,-1.9689381095521033e-10
3820,1.2213819081012683e-12,-1.9567242904710906e-10
3830,-1.7305047391219797e-12,-1.9740293378623103e-10
3840,-1.805455572429316e-12,-1.9920838935866034e-10
3850,-2.4644609136785477e-12,-2.016728502723389e-10
3860,-1.8745133231859947e-12,-2.0354736359552488e-10
3870,-2.9967635992192884e-12,-2.0654412719474417e-10
3880,-3.03688097448001e-12,-2.0958100816922417e-10
3890,-2.0850263062785322e-12,-2.116660344755027e-10
3900,-1.5716208662098485e-12,-2.1323765534171255e-10
3910,-2.0446079054584018e-12,-2.1528226324717095e-10
3920,-1.61675053580871e-12,-2.1689901378297966e-10
3930,6.073776988802255e-13,-2.1629163608409942e-10
3940,-1.1919483549923151e-12,-2.1748358443909175e-10
3950,1.015386700942767e-12,-2.1646819773814898e-10
3960,-2.0943573311049853e-13,-2.1667763347125947e-10
3970,5.910372398608439e-13,-2.1608659623139863e-10
3980,-7.430516967840904e-13,-2.1682964792818272e-10
3990,-1.9711596419289097e-13,-2.1702676389237563e-10
4000,-2.20828179746034e-13,-2.1724759207212165e-10
4010,-4.474363818085931e-13,-2.1769502845393023e-10
4020,-9.392712770386616e-13,-2.186342997309689e-10
4030,-6.661660927008088e-13,-2.193004658236697e-10
4040,-7.779800681867533e-13,-2.2007844589185647e-10
4050,9.107790401739935e-13,-2.191676668516825e-10
4060,4.578038046830248e-13,-2.1870986304699946e-10
4070,5.517916516872166e-13,-2.1815807139531226e-10
4080,-1.2622963833933899e-12,-2.1942036777870565e-10
4090,1.0171632753451491e-12,-2.184032045033605e-10
4100,1.0043678418094463e-12,-2.1739883666155105e-10
4110,1.4781978826382755e-12,-2.1592063877891277e-10
4120,-5.113173660594333e-13,-2.164319561449722e-10
4130,9.606099447331482e-13,-2.1547134620023904e-10
4140,9.115364092071977e-13,-2.1455980979103186e-10
4150,2.1643479835274406e-13,-2.143433749926791e-10
4160,-7.403774802977672e-13,-2.1508375247297688e-10
4170,3.778625525242427e-13,-2.1470588992045264e-10
4180,-3.0972143914219036e-14,-2.1473686206436686e-10
4190,7.687908957037096e-13,-2.1396807116866315e-10
4200,-7.51030554781362e-13,-2.1471910172344451e-10
4210,2.5672186183761e-13,-2.144623798616069e-10
4220,7.672512480748117e-13,-2.136951286135321e-10
4230,8.5879059039631e-13,-2.1283633802313578e-10
4240,8.620527902271992e-13,-2.1197428523290858e-10
4250,-1.8824039583378023e-13,-2.1216252562874236e-10
4260,-1.5472227495969556e-12,-2.1370974837833932e-10
4270,-5.318045129048403e-13,-2.1424155289124417e-10
4280,-3.243037397580907e-13,-2.1456585663100225e-10
4290,1.18509012575902e-12,-2.1338076650524322e-10
4300,4.3009085619316175e-13,-2.1295067564905007e-10
4310,1.4548102293321398e-12,-2.1149586541971793e-10
4320,-1.3328564975808318e-12,-2.1282872191729877e-10
4330,5.174808226988716e-13,-2.123112410945999e-10
4340,1.5019484955138684e-12,-2.1080929259908602e-10
4350,2.2006163474830896e-13,-2.105892309643377e-10
4360,1.187267994480682e-12,-2.0940196296985702e-10
4370,5.660126661252849e-13,-2.0883595030373173e-10
4380,6.989910869961485e-13,-2.081369592167356e-10
4390,1.7611142801198556e-12,-2.0637584493661572e-10
4400,8.254014697981274e-13,-2.055504434668176e-10
4410,1.5778314065883988e-12,-2.039726120602292e-10
4420,1.323697654706749e-12,-2.0264891440552245e-10
4430,1.0995213122913268e-12,-2.0154939309323114e-10
4440,-1.6375306367555907e-12,-2.0318692372998672e-10
4450,-1.306066546873848e-12,-2.0449299027686057e-10
4460,-1.1955541015635265e-12,-2.056885443784241e-10
4470,1.3724766091713419e-12,-2.0431606776925275e-10
4480,1.93948350065154e-12,-2.023765842686012e-10
4490,2.298455608276652e-12,-2.0007812866032456e-10
4500,1.6597084394057586e-12,-1.984184202209188e-10
4510,1.3318345063173338e-12,-1.9708658571460146e-10
4520,2.581191066021889e-13,-1.9682846660799927e-10
4530,2.0636193396512363e-12,-1.9476484726834804e-10
4540,2.1456355692438456e-12,-1.926192116991042e-10
4550,1.879035094414993e-12,-1.907401766046892e-10
4560,1.5455786767297932e-12,-1.891945979279594e-10
4570,-2.0085993125819133e-13,-1.893954578592176e-10
4580,-8.82627510759253e-13,-1.9027808536997686e-10
4590,-6.374863599334042e-13,-1.9091557172991025e-10
4600,3.2635256305121554e-13,-1.9058921916685903e-10
4610,1.264867348290068e-13,-1.9046273243203003e-10
4620,-9.006748291209529e-13,-1.9136340726115098e-10
4630,4.796636485442367e-13,-1.9088374361260674e-10
4640,-6.892508132259593e-13,-1.915729944258327e-10
4650,1.019289139005398e-12,-1.9055370528682732e-10
4660,-1.6975287497538254e-13,-1.9072345816180271e-10
4670,-7.070240779535188e-13,-1.9143048223975624e-10
4680,-1.8968961139602063e-12,-1.9332737835371646e-10
4690,-1.4159090328406825e-12,-1.9474328738655715e-10
4700,-2.443502562212114e-13,-1.9498763764277837e-10
4710,1.2719630935817289e-12,-1.9371567454919664e-10
4720,-2.0989060657875358e-12,-1.9581458061498418e-10
4730,-2.2000814032258453e-12,-1.9801466201821003e-10
4740,-1.2522496692165196e-12,-1.9926691168742654e-10
4750,7.652969477512607e-13,-1.9850161473967527e-10
4760,6.722453074348873e-13,-1.9782936943224038e-10
4770,-4.920632654484332e-13,-1.9832143269768882e-10
4780,5.933112600183669e-13,-1.9772812143767046e-10
4790,5.337130920161163e-13,-1.9719440834565433e-10
4800,-6.570403231974436e-13,-1.9785144866885178e-10
4810,-4.890953906023254e-13,-1.983405440594541e-10
4820,-4.89686720633249e-13,-1.9883023078008735e-10
4830,1.259091026386664e-13,-1.9870432167744867e-10
4840,-1.3197819830368196e-14,-1.9871751949727905e-10
4850,6.70216645573507e-13,-1.9804730285170555e-10
4860,-6.744833469598343e-13,-1.9872178619866539e-10
4870,-3.4671626959819505e-14,-1.9875645782562521e-10
4880,-2.5257588670605496e-13,-1.9900903371233126e-10
4890,2.6663480819831937e-13,-1.9874239890413295e-10
4900,-9.623580948548936e-13,-1.9970475699898783e-10
4910,-9.165222865955381e-13,-2.0062127928558338e-10
4920,1.1632599142930474e-12,-1.9945801937129033e-10
4930,-5.607860887807467e-13,-2.0001880546007108e-10
4940,-1.0404614753381206e-12,-2.010592669354092e-10
4950,-8.176221640175294e-13,-2.0187688909942673e-10
4960,1.2381634787522769e-12,-2.0063872562067445e-10
4970,1.190956903951148e-12,-1.994477687167233e-10
4980,-9.407597211943293e-14,-1.9954184468884274e-10
4990,-1.1949322870259043e-12,-2.0073677697586865e-10
5000,1.0858468473926767e-12,-1.9965093012847597e-10
5010,1.2952065987809254e-12,-1.9835572352969505e-10
5020,1.1836864531608134e-12,-1.9717203707653425e-10
5030,1.2128808656856186e-12,-1.9595915621084864e-10
5040,9.282819421759224e-13,-1.950308742686727e-10
5050,1.3927729210524021e-12,-1.936381013476203e-10
5060,1.1266117883188157e-12,-1.925114895593015e-10
5070,5.494131791272687e-13,-1.9196207638017424e-10
5080,5.511476350765158e-13,-1.9141092874509773e-10
5090,2.169612813103131e-13,-1.911939674637874e-10
5100,1.0424857389753769e-12,-1.9015148172481203e-10
5110,1.2071688402541376e-12,-1.889443128845579e-10
5120,1.9535099961941144e-12,-1.8699080288836378e-10
5130,1.6387042233316941e-12,-1.853520986650321e-10
5140,9.262498541269284e-13,-1.8442584881090517e-10
