frame_no,relative_rotation,net_relative_rotation
10,0.4834084165042157,0.4834084165042157
20,-0.18900075569948788,0.2944076608047278
30,-1.6346068230392086,-1.3401991622344807
40,-0.406797237853009,-1.7469964000874896
50,-0.050894311541731005,-1.7978907116292207
60,-0.37615593217682297,-2.1740466438060437
70,0.12319746979984826,-2.0508491740061956
80,-0.2566377152624143,-2.30748688926861
90,0.051023888328547276,-2.2564630009400624
100,-0.06196761952676241,-2.318430620466825
110,-0.12804634604510676,-2.4464769665119315
120,-0.030027355546823953,-2.4765043220587555
130,0.13307260459843887,-2.3434317174603168
140,-0.2506609325043601,-2.594092649964677
150,-1.779213366435905,-4.373306016400582
160,-1.9926252533960276,-6.36593126979661
170,-0.3220167972563046,-6.687948067052915
180,0.1498363269255989,-6.538111740127316
190,0.07714732206525461,-6.460964418062061
200,-0.6490204244739235,-7.109984842535985
210,-1.409490045839843,-8.519474888375829
220,0.2756587765484832,-8.243816111827346
230,-0.9324185684212573,-9.176234680248603
240,-0.4655310622667849,-9.641765742515387
250,0.12236839600440347,-9.519397346510983
260,0.1382161606350591,-9.381181185875924
270,0.08006249663930282,-9.301118689236622
280,-0.2361217024970751,-9.537240391733697
290,-0.41397375085243093,-9.951214142586128
300,-1.817725757205909,-11.768939899792038
310,-0.4070848127683662,-12.176024712560404
320,-0.1394516054201269,-12.315476317980531
330,0.45956033889921305,-11.855915979081319
340,2.7549643762480147,-9.100951602833304
350,-0.011181631604049669,-9.112133234437353
360,-0.04739840412069107,-9.159531638558045
370,-0.41446816219302346,-9.573999800751068
380,-3.382047299197476,-12.956047099948544
390,-0.04210240485694511,-12.998149504805488
400,0.36349851859397586,-12.634650986211511
410,0.577848717496462,-12.05680226871505
420,0.2889166465205887,-11.767885622194461
430,0.3656074027878869,-11.402278219406574
440,1.0784303667739803,-10.323847852632593
450,0.2869966623321916,-10.036851190300402
460,-1.1850221456537693,-11.221873335954172
470,-0.3933914451603875,-11.61526478111456
480,1.5777869880206286,-10.037477793093931
490,0.3279917046305585,-9.709486088463372
500,0.21725255122039025,-9.492233537242981
