step_size,Ring_Net_Relative_Rotation
1,-3.748319276422589
2,-3.766740110118776
5,-3.3005281544371385
8,-2.9638623910860455
10,-3.1612124237722936
15,-1.881138261797914
20,-3.196698732940147
30,-1.4727445878519114
40,-2.076069156968253
50,-2.340728095401397
100,-0.18590272588431078
